cleaned_position,new_position
obstetricians and gynecologists,
occupational accidents,
occupational classification,
Occupational Competency Assessment,
occupational diseases,
Occupational Health Advisor,
Occupational Health and Safety Expert,
Occupational health and safety officer,
occupational health and safety specialists,
occupational health and safety technicians,
Occupational Health Nurse,
occupational health services,
Occupational Injuries,
Occupational Medicine,
Occupational Qualification,
Occupational Safety and Health,
Occupational Safety Officer,
Occupational Safety Specialist,
Occupational Standards and Assessment Information Management,
Occupational Therapists,
Occupational Therapy,
Occupational Therapy Aides,
Occupational Therapy Assistants,
"Occupational, Behavioral or Speech Therapist",
ODA Officer (Development Assistance Officer),
Odd Maintainer / Data Encoder,
Odoo ERP consultant,
Odoo ERP customization,
Odoo erp developer,
Odoo ERP functional consultant,
Odoo Expert,
Odoo Functional Consultant,
Odoo functional/technical junior consultant,
Odoo Software Developer,
OdooERP Functional Consultant,
Off Farm and Youth Specialist,
OFF- FARM ENTERPRISE TECHNICAL SPECIALIST- HIGHLANDS RESILIENCE ACTIVITY,
Office Admin,
"Office and Administrative Support Workers, All Other",
Office and Classroom Organization and Supervision,
Office Assistance and Translator,
Office Assistant,
"Office Clerks, General",
Office Engineer,
Office Equipment Officer,
Office equipment repair and maintainance,
Office Equipment Technician,
Office Furniture Designer,
Office Furniture Sales Supervisor,
Office girl and messenger,
Office Lease Management Officer,
"Office Machine Operators, Except Computer",
office machine technician,
Office Management Services,
Office Manager,
office reactnative developer,
Office Registrar,
Office Sales,
Office Security,
Office Shatter/Blinds worker,
Office Solutions (Furniture) Division Head,
Office Space Management,
Office stationary product sales,
Office Structural Engineer,
office supplies,
Office Supplies Purchaser,
Office supply manager,
Officer - Communications for Marketing & Corporate Dep't,
Officer - Core Banking Support,
Officer – Credit Appraisal,
Officer – Cyber Security,
Officer – Security Coordinator,
Officer Assistance,
Officer Innovation,
Officer Precision Manufacturing and Equipment (PME),
Officer- Promotion & Corporate Communications,
Officer Remittance,
Officer- Subgrant,
"Officer, Change Management",
"Officer, Child Protection",
"Officer, Collection & Dispersant",
"Officer, Cost & Budget",
"Officer, Credit Analyst and Portfolio Management",
"Officer, Credit Appraisal",
"Officer, Credit Follow-up",
"Officer, Information Technology Risk",
"Officer, Investment Advisory Services",
"Officer, IT Infrastructure Compliance Security and Risk Management",
"Officer, IT Projects",
"Officer, Loan Review",
"Officer, Mobile & Agent Banking",
"Officer, Operational Risk",
"Officer, Performance Managment",
"Officer, Permit",
"Officer, Planning and Performance Management",
"Officer, Policy and Process Management",
"Officer, Recruitment and Placement",
"Officer, Resource allocation and grant management",
"Officer, Resources Management",
"Officer, Strategic Partnership",
"Officer, Training and Development",
"Officer, Transformational Projects",
Officer-Credit Appraisal,
Officer-IT Security and Awareness,
Officer-Procurement,
official correspondence,
official documentation,
official meetings,
official travel,
OHS Officer,
Oil and Fiber Crops Development and Post-Harvest,
oil and gas industry,
Oil Machin supervisor,
Oilseed and Legume Crop Development and Post-Harvest,
Oilseeds Supply Chain Manager / Center Manager,
Old Tax Debt Tracking,
ON- FARM ENTERPRISE- HIGHLANDS RESILIENCE ACTIVITY,
on-call work,
Oncology Nurse,
Oncology Sub-Specialist,
One Health,
Online and call agents,
Online Child care(Parenting) Coaching,
Online Computer science teacher,
Online Course Curator,
Online course developer,
Online Fashion Customer Support Representative,
Online Freelance Marketing,
Online Merchants,
Online Product Lister,
Online Program Coordinator,
Online promoter,
Online Promotion,
Online Researcher,
Online Sales Agent,
Online Volunteerism,
Operating Engineers and Other Construction Equipment Operators,
Operating Room Nurse,
Operation and Client Care Executive,
Operation and Client Care Expert,
Operation and Customer Client Care,
Operation and Liaison Officer,
Operation Center Coordinator,
Operation Department Manager,
Operation Head,
Operation Manager,
Operation Officer,
Operations,
Operations Associate,
Operations Audit,
Operations Manager,
Operations Research Analysts,
Ophthalmic,
Ophthalmic Laboratory Technicians,
Ophthalmic Medical Technicians,
Ophthalmic Medical Technologists,
Ophthalmic Nurse,
Ophthalmologist,
Ophthalmology Specialist,
Optician,
"Optician, Dispensing",
optimized food blogs and recipes articles Writer,
Optometrist,
Optometry,
Oral and Maxillofacial Surgeon,
Oral Literature Study and Folklore Development,
"oral, maxillofacial, and facial surgery specialist",
Order and Fulfillment Engineer,
organic chemistry technician,
organic fertilizer utilization expert,
organization and job evaluation analyst,
organizational chart,
Organizational Development Expert,
organizational health,
organizations of persons with disabilities support and service,
Original Titles,
Oromo Language Audio Recording,
oromo language simultaneous interpreter,
Oromo singer,
Oromo Teacher,
Oromo to Amharic Translator,
Orphan and Vulnerable Children Service (OVC) Director,
orthodontists,
Orthopedic Sports and Arthroscopy Medicine,
Orthopedic Surgeon,
Orthopedic Trauma,
Orthopedist,
Orthoptist,
Orthotist and Prosthetist,
OTP/SC Nurse,
Outcome Assessment Research (OA-RA,
Outcome-Based Workplans,
Outdoor Power Equipment and Small Engine Mechanic,
Outdoor Sales,
Outdoor/Showroom Sales,
OUTSOURCED ICT SERVICE PROVIDER,
Outsourcing,
OVC and HIV Care and Treatment Program Manager,
OVC Care & Support Officer,
Overhead Crane Operator,
Packaged Products Measurement Accuracy Verification,
Packaged Products Measurement Verifier,
Packaging and Filling Machine Operator and Tender,
Packaging Designer,
Packer Machine Operator,
"packers and packagers, hand",
Packing Machine Operator,
Paint Production Division Manager,
Painter,
"painters, construction and maintenance",
Painting and Sketching Instructor,
"painting, coating, and decorating workers",
palace cultural food and beverage preparation,
palace food preparation,
palace guest receptionist,
palace heritage care and cleaning,
palace hospitality,
paleontology and paleoanthropology custodian,
Palletizer Operator,
Pancake maker,
"paper goods machine setters, operators, and tenders",
Paper Machin Operator,
paperhangers,
paralegals and legal assistants,
paramedic,
Paramedic/ Emergency Medical Technician,
paramedics,
parasitic and invasive weed study and analysis,
Parent Outreach,
park administration,
park and museum safety,
park naturalists,
Parking attendant,
parking attendants,
parking enforcement workers,
Part Sales Engineer,
part time employment,
participatory development,
participatory forest management,
Partner Experience Navigator (PEN) officer or Customer Service Officer,
partner projects coordination,
partner-led recovery projects plan preparation and implementation,
Partnership,
Partnership and Capacity Development Officer,
Partnership and Localization Advisor,
"Partnership Development, Fundraising and Communications Director",
Partnership Engagement,
Partnership Officer,
Partnership Relations Management Officer,
partnerships,
Parts & Service Sales Representative (P.S.S.R.),
parts salespersons,
passenger attendants,
passport renewal,
passport service,
pastoral and agro-pastoral development,
pastoral and lowland area capacity building works coordination,
"pastoral and lowland area cooperative societies organizing, strengthening and modernization",
pastoral and lowland area crop development coordination,
pastoral and lowland area development,
pastoral and lowland area partner projects implementation coordination,
pastoral and lowland area research,
pastoral area cooperative societies organizing,
pastoral development extension,
pastoralist,
pastoralist and lowland area development coordination,
pastoralist and lowland area technology utilization coordination,
pastoralist and special needs education,
pastoralist and special support,
pastoralist study and research,
Pastoralist TB Advisor,
Patcher,
patent and technology transfer,
patent search and substantive examination,
patent technology information expert,
pathologist,
pathology specialist,
Pathways Advisor,
patient assistant,
Patient Coordinator,
patient information unit coordinator,
patient referral and discharge service desk head,
patient registration desk head,
patient representative,
"patternmaker, metal and plastic",
"patternmaker, wood",
Pavement /Material Engineer,
"paving, surfacing, and tamping equipment operator",
Payment API Integration,
Payment Processing Developer,
Payment System Officer,
Payment Systems Officer,
payment transfer and verification institutions monitoring and support specialist,
payments and expenditure,
payroll and timekeeping clerk,
PBF Data Officer,
peace and security service executive,
Peace and Security Service Shift Coordinator,
Peace and Security Service Team Leader,
Peace building officer,
Peacebuilding and Advocacy Officer,
Peacebuilding Desk Head,
Peacebuilding Expert,
Peacebuilding Lead Executive,
Peacebuilding Project Officer,
Pedagogy Center Officer,
Pediatric Cardiology,
Pediatric Emergency and Critical Care Medicine,
Pediatric Endocrinology,
Pediatric Infectious Diseases Treatment,
Pediatric Medicine,
Pediatric Nephrology,
pediatric neurology sub-specialist,
Pediatric Nurse,
pediatric ophthalmology sub-specialist,
pediatric orthopedics,
pediatric surgery,
pediatrician,
pediatrics and child health nursing,
penetration tester,
Penetration tester and cyber security manager,
pension schemes,
People and Administration Officer,
People and Culture Officer,
"People and Culture Specialist, Ethiopia",
People Operation Liaison,
People Operations Liaison,
people with disabilities,
Percussionist/cajon player,
Performance & Disciplinary Management Expert,
Performance & Discipline Management Section Manager,
Performance & Visual Art Teachers,
Performance and Result Management Officer,
Performance and Visual Arts Teacher,
Performance Assessor,
Performance Auditor,
Performance Based Financing (PBF) Data Manager,
Performance Based Financing (PBF) Education Verification Officer,
Performance Based Financing (PBF) Finance Expert,
Performance Based Financing (PBF) Project Coordinator,
Performance Based Financing (PBF) Regional Focal Person,
Performance Engineer,
performance evaluation and appraisal system,
Performance Management,
Performance Management Division Manager,
Performance Management Expert,
Performance Management Officer,
Performance Test Lead,
Performance Tester/Engineer with Loadrunner Enterprise experience.,
Performing Arts Development,
Periodicals,
Perioperative Cardiothoracic Nurse,
Permanent Art Heritage Conservator,
persian to english translator,
Persinal Assistance,
Personal body guard,
Personal Care,
Personal Data Protection Inspection,
Personal Data Protection Law Preparation and Training,
Personal Data Protection Technology Study and Training,
Personal Data Registration and Licensing,
"Personal Data Rights Violation Complaint, Appeal and Litigation Resolution",
Personal Effects Transport,
Personal English Instructor,
Personal Financial Advisors,
Personal Financial and Work Decision Consultant.,
Personal fitness trainer,
Personal for an internet and game zone,
"Personal Service Managers, All Other",
Personnel & General Service Officer,
Personnel Manager,
Personnel Officer,
Persons with Disabilities Affairs Advocacy and Rights Protection,
Persons with Disabilities Comprehensive Service Benefit,
Pest Assessor,
Pest Control Manager,
Pest Control Technician,
pest control workers,
pest diagnostics laboratory,
Pest Management (IPM) Scout Manager,
Pest Solution and Management Company Manager,
pest survey expert,
pesticide and fertilizer inspector,
pesticide and fertilizer laboratory testing,
pesticide and fertilizer laboratory testing sample reception and registration worker,
pesticide chemist,
pesticide efficacy evaluation specialist,
"pesticide handlers, sprayers, and applicators, vegetation",
pesticide human health toxicology expert,
pesticide inspector,
pesticide management specialist,
pesticide quality laboratory technician,
pesticide quality testing analyst,
Pet sheet technician,
Pet Shop Assistant,
petition and complaint screening,
petition and complaint screening expert,
petroleum engineer,
petroleum engineers,
petroleum license and administration,
"petroleum pump system operators, refinery operators, and gaugers",
petty cash,
Pharma store keeper,
Pharmaceutical business analyst (consultant).,
Pharmaceutical Driver,
Pharmaceutical import,
Pharmaceutical import and sales manager.,
Pharmaceutical Sales,
Pharmaceutical Supply Chain,
Pharmaceutics,
Pharmacist,
Pharmacists,
Pharmacoepidemiology and Social Pharmacy,
Pharmacology,
Pharmacy,
Pharmacy Aides,
Pharmacy Dispensary,
Pharmacy Import Division Director,
Pharmacy Officer,
Pharmacy Technician,
PHC Assessors,
PhD _ Senior Technical Assistant,
"philosophy and religion teachers, postsecondary",
Phlebotomist,
phlebotomists,
Phone Call project German+ Scottish+ Australian+ Canadian French,
Phone Call Support,
Photo and Video Editor,
Photo Collage Maker,
Photo Editor,
Photo Frame Producer for Wall Art,
Photo Journalist,
Photo Model,
Photo shoot model,
Photo to Cartoon Creator,
Photo to Text Amharic Writing,
Photographer,
Photographer and Video Editor,
Photographer can also do photo editing,
photographers,
photographic process workers and processing machine operators,
photonics engineers,
photonics technicians,
Photoshoot Director,
Photoshop Designer,
Photoshop Editor,
photoshoper,
PHP (Wordpress) Developer,
PHP (Yii Framework) Developer,
PHP / Laravel Developer,
PHP / Symfony Developer,
Php / Yii Framework Developer,
PHP + Codignator Developer,
PHP and CSS Developer,
PHP and Ionic Developer,
PHP CodeIgniter Developer,
PHP Developer,
php or node.js backend developer,
PHP programer,
Php Script Developer,
"PHP, Python, C# Developers",
physiatrists,
physical analysis geologist,
physical and environmental expert,
physical and mineralogy laboratory,
physical hazards,
Physical Inventory Controller,
physical medicine and rehabilitation physicians,
Physical Rehabilitation Officer,
"physical scientists, all other",
physical security coordinator,
physical security worker,
physical therapist aides,
physical therapist assistants,
physical therapists,
Physician,
Physician and Physiotherapy Specialist,
physician assistants,
"physicians, all other",
"physicians, pathologists",
physicists,
Physico Chemical (Quality Control),
Physico Chemical Professional,
Physico-Chemical Analyst,
Physicochemical Expert,
Physico-Chemical Testing and Consultation,
Physics Lab Technician,
Physics Laboratory Technician,
"physics teachers, postsecondary",
Physiotherapist,
Physiotherapist Department Head,
physiotherapy practitioner,
physiotherapy technician,
Phyton Developer,
Phyton programming,
Piano Teacher,
Pick Up Driver,
pig breeding team leader,
Pikanol Weaving Production Section Head,
pile driver operators,
PIN Issuing Officer,
Pipe Production Foreman,
Pipe Production Mixer Operator,
pipelayers,
pipeline transport development,
Plan and Program Expert,
"plan and program preparation, monitoring and evaluation expert",
"Plan, Budget and Report Expert",
"Plan, Budget, & Reports Officer",
"plan, program and resource mobilization lead executive",
Plannig and Foreign purchasing officer,
Planning & Business Development Officer,
Planning & Contract Administration,
Planning & Design Division Head,
Planning & Engineering Officer,
Planning & Supply Chain Officer,
"Planning , Budget Officer & CPD Officer",
"planning and budget preparation, monitoring and evaluation professional",
"planning and budget preparation, monitoring and evaluation team leader",
planning and government investment lead executive,
Planning and Monitoring Officer,
Planning and Partnership Director,
"planning and program preparation, monitoring and evaluation",
Planning and Programming,
Planning and Project Management Expert,
Planning and Reporting,
Planning and Reporting Officer,
Planning and Spare Part Engineer,
Planning and Strategy Officer,
Planning Officer,
Planning Unit Manager,
"Planning, Follow-up & Reform Officer",
"Planning, Marketing & Business development Division Head",
"Planning, Monitoring & Evaluation Coordinator",
"Planning, Monitoring & Evaluation Division Head",
"Planning, Monitoring & Evaluation Expert",
"Planning, Monitoring & Evaluation Officer",
"Planning, Monitoring & Systems Head",
"Planning, Monitoring and Evaluation Engineer",
"Planning, Monitoring, Evaluation & Reporting Expert",
"Planning, Monitoring, Evaluation & Reporting Officer",
"Planning, Monitoring, Evaluation and Learning Officer",
"Planning, Monitoring, Evaluation and Operation Assistance Manager",
"Planning, Monitoring, Evaluation and Reporting Coordinator",
"Planning, Monitoring, Evaluations and Reporting (PMER) Director",
"Planning, Programming, Monitoring and Evaluation Manager",
"Planning, Research & Development Officer",
Plant & Equipment Administration & Maintenance,
Plant & Equipment Administration Officer,
Plant & Equipment Head,
Plant & Machinery Admin & Maintenance Clerk,
Plant Accounts Controller,
Plant Administration & Maintenance Coordinator,
Plant Administration Department Manager,
Plant Administration Officer,
Plant and Equipment Administration Maintenance Department Manager,
"plant and system operators, all other",
Plant Bitumen Heater & Boiler Man,
Plant Controller,
Plant Department Manager,
Plant Director,
plant disease prevention specialist,
Plant Electrical Officer,
Plant Electrician,
Plant Engineer,
plant genetic resource control expert,
Plant Head/Manager,
Plant HR & Administration Executive,
Plant HR Business Partner,
plant input and product testing laboratory lead executive,
Plant Legal Advisor and Attorney,
Plant Maintenance Head,
Plant Maintenance Officer,
Plant Manager,
Plant Mechanic /Crusher Asphalt and Batching,
Plant Nursery Manager,
Plant Officer,
Plant Operation Data Analisist,
Plant Operation Manager,
Plant Operator,
plant pathologist professional,
plant pest risk analysis expert,
plant product quality control expert,
plant product safety control expert,
plant product safety laboratory testing,
plant product safety laboratory testing sample reception and registration worker,
Plant Protection Executive,
Plant Quarantine Inspector,
Plant Quarantine Laboratory Diagnostician,
Plant Quarantine Laboratory Technician,
Plant Quarantine Pest Testing Laboratory,
Plant Regulatory Coordination Expert,
Plant Science Expert,
Plant Seed Inspector,
Plant Seed Laboratory Analyst,
Plant Seed Laboratory Testing,
Plant Seed Supply,
Plant Species Inspection,
Plant Supply Chain Manager,
Plant Variety Examination,
Plantations,
Planting Supervisor,
Plasma Machine operator,
Plasterer,
Plastic and Reconstructive Surgery,
Plastic Blowing Machine Operator,
Plastic bottle designer,
Plastic industry technician and machine repair man,
Plastic Injection Factory Head,
Plastic Production Division Head,
Platform Developer,
Platform Lead - Payment Infrastructure,
platform presenter,
"plating machine setters, operators, and tenders, metal and plastic",
PlayConsole Account Creator,
play-out operator,
Plodder Machine Operator,
Plugin developer for Joomla,
Plugin of software,
Plumber,
Plumber & Electrician,
"plumbers, pipefitters, and steamfitters",
Plumbing and Electrical,
PMEL and Programs Quality Assurance Officer,
PMEL Lead,
PMEL Officer,
PMER Coordinator,
Pneumatic Roller / Roller operator,
Pneumatic Tyer Roller Operator,
Podcast cohost,
Podcast Host,
Podcast Technician,
podiatrists,
"poets, lyricists and creative writers",
police and sheriff's patrol officers,
police identification and records officers,
Policy & Advocacy Officer,
Policy Advisor,
Policy Analyst,
Policy and Advocacy Manager,
Policy and Advocacy Specialist,
"Policy and Communications Consultant, ENABLE",
Policy and Partnership Specialist,
policy and strategy research and study analyst,
policy and strategy research and study implementer,
Policy Associate,
Policy Collaboration and Diffusion Officer,
Policy Dialogue and Stakeholder Engagement Lead,
policy implementation monitoring and control expert,
Policy LINK â€“ Administrative,
Policy LINK â€“ Procurement & Subawards Officer/Coordinator,
Policy LINK â€“ Regional Administrative & Logistics Coordinator,
Policy LINK Ethiopia â€“ MEL Coordinator,
policy researcher,
Political Analyst,
"political science teachers, postsecondary",
political scientists,
Pompista (Nozzle Pump Technician),
Pool House Revenue Officer,
Pool Player,
population advocacy and capacity building,
population and development affairs,
population development agreement and partnership,
"population policy, planning and strategic issues expert",
port branch office head,
port freight transport and logistics regulatory expert,
port operations monitoring professional,
portfolio expert,
Portfolio Management Analyst,
post adjustment,
postal license and renewal desk head,
postal service clerks,
postal service mail carriers,
"postal service mail sorters, processors, and processing machine operators",
postal services,
Postdoctoral Researcher,
post-entry quarantine expert,
postgraduate education coordinator,
postgraduate programs specialist,
post-harvest and value addition technology expert,
post-harvest expert,
post-harvest handling expert,
post-harvest mechanization machines and equipment engineer,
post-harvest processing machines and equipment supply expert,
post-license inspection expert,
postmasters and mail superintendents,
"postsecondary teachers, all other",
post-traffic accident inspection expert,
post-traffic accident insurance service desk head,
post-training analysis and counselling service professional,
"potters, manufacturing",
Pottery Maker,
pottery worker,
poultry breed and feed supply expert,
Poultry Breed Improvement and Multiplication,
Poultry Development,
Poultry employee,
Poultry Husbandry,
Poultry Mechanization,
Poultry Project Team Leader,
Poultry Resource Development,
"Poultry, Beekeeping, and Fish Farming",
"Pourers and Casters, Metal",
Poverty Alleviation,
Power Apps Developer,
Power Apps/Power BI/Power Automate Developer,
Power Distributors and Dispatchers,
Power engineer,
Power Expert,
Power Plant Operators,
PR & Communication Officer,
PR & Marketing Executive,
PR and Communication Officer,
PR and Marketing Manager,
PR Strategist,
Practitioner,
Pre-cleaning and Silo Operator,
Pre-Harvest Agricultural Equipment Supply,
Pre-Health Facility Patient Referral Service,
Preparation Operator,
Pre-primary,
Pre-production,
Pre-Sales Engineer,
Presentation Specialist,
President of the College,
Press Release Specialist,
Pressing Assistant Operator,
Prevention Officer,
Preventive Maintenance & Control Officer,
Preventive Maintenance Division Manager,
Preventive Maintenance Engineer,
Preventive Maintenance Officer,
Preventive Nutrition Desk,
price statistician,
price statistics desk,
Primary Data entry on SPSS,
Primary Directress/Director,
Primary Health Care (PHC) Coordinator,
Primary Health Care (PHC) Specialist,
Primary Health Care Partnership Officer,
Primary Level Home Teacher,
Primary Sector,
Principal / Primary School,
Principal / Secondary School,
Principal Core Application Administration Officer,
Principal Credit Follow up and Monitoring Officer,
Principal IT Risk Management Officer,
Principal IT System Security Officer,
Principal Server and Storage Administrator,
Principal Talent Development Officer,
Principal Technical Officer,
Principal Total Rewards Officer,
Principal Training Management Expert,
Principal Underwriting Officer,
Print Binding and Finishing,
Print Designer,
Printer,
Printer maintenance technician,
Printing and Distribution Control Desk,
Printing and Distribution Control Expert,
Printing and Distribution Executive,
Printing and Hall Preparation Service Desk,
Printing and Publication,
Printing Center Executive,
Printing Cost Estimator,
Printing Desk,
Printing Expert,
Printing Machine Controller,
printing machines operator,
Printing Press Operator,
Prisoner Social Integration Monitoring Expert,
Private Detectives and Investigators,
Private Employment and Worker Recruitment Agency Licensing,
Private Female turkish language teacher,
Private Health Sector Support Officer,
Private Higher Education Licensing,
Private Home Cook,
Private inhome or in studio guitar teacher,
Private Instagram account promoter,
Private negotiator or closer,
Private Nurse,
Private Personal Assistant (Live In),
Private Sector,
Private Sector Advisor,
Private Sector Development Advisor,
Private Sector Development Officer,
Private Sector Employment Linkage Officer,
Private Sector Engagement & Investment Specialist,
Private Sector Engagement Expert,
Privatization,
Privatization Affairs Expert,
Privileges and Immunities,
Probation Officer,
Problem-solving,
Procedure,
Procedure Design and Cartography Inspector,
Procedure Design Safety and Quality Assurance,
Process and Control Improvement Manager,
Process Chemist,
Process Engineer,
Process Improvement,
Process Operator for Agro processing,
Process Quality Control,
Processing Room Operator,
Processing Visa Applicants,
Procurement,
Procurement & Contract Administration Head,
Procurement & Contracting,
Procurement & Facilities Management Officer,
Procurement & General Service Expert,
Procurement & General Service Section Head,
Procurement & Import Officer,
Procurement & Logistic Officer,
Procurement & Logistics,
Procurement & Marketing Research Officer,
Procurement & Property Administration Manager,
Procurement & Property Administration Officer,
Procurement & Property Head,
Procurement & Property Officer,
Procurement & Supplies Officer,
Procurement & Supply Chain Department Manager,
Procurement & Supply Chain Specialist,
Procurement & Supply Coordinator,
Procurement & Supply Department Head,
Procurement & Supply Department Manager,
Procurement Analyst,
Procurement and Contract Officer (Maternity Replacement),
Procurement and logistic assistance,
Procurement and Logistics Assistant,
Procurement and Logistics Coordinator,
Procurement and Logistics Division Head,
Procurement and Logistics Manager,
Procurement and Material Management Team Leader,
Procurement and Property Administration Head,
Procurement and Property Administration Officer,
Procurement and Subaward Manager,
Procurement and Supply Chain Admin,
Procurement and Supply Manager,
Procurement and Supply Officer,
Procurement Asset Management Officer,
Procurement Business Partner-Finance,
Procurement Clerk,
Procurement Contract Administration Officer,
Procurement Coordinator,
Procurement Department Manager,
Procurement Director,
Procurement Division Head,
Procurement Documentation Clerk,
procurement Engineer,
Procurement Executive,
Procurement Expert,
Procurement expert and financial management expert,
Procurement of Audit Service,
Procurement Officer,
Procurement Performance and Property Disposal Complaint and Liability Investigation,
Procurement Review Committee,
Procurement Services Manager,
Procurement Supervisor,
Procurement Team Leader,
Procurement Trends,
"Procurement, Finance and Property Management Director General",
"Procurement, Finance, and Asset Management Team Leader",
"Procurement, Property, and Facility Management Division Head",
"Procurement, Supply & Property Admin Department Manager",
"Procurement, Supply & Property Administration Officer",
"Procurement, Supply and Property Administration Head",
"Procurement, Supply Chain & Property Administration",
Producer and Director,
Producer and Reporter,
producers and directors,
Product & Business Development Officer,
Product & Solution,
Product and Business Development Officer,
product and market safety monitoring specialist,
Product Branding (Design for 3 Products,
Product Camera man,
product certification accreditation,
Product Certification officer,
Product curator intern,
Product deliverer,
Product designer,
Product Developer and social media Marketer,
Product Development & Management Officer,
Product Development and Capacity Building Officer,
Product Development Coordinator,
Product Development Expert,
Product Development Manager,
Product Development Specialist,
product display and sales space,
Product Distributer,
Product Editor,
Product Evaluator,
Product Export manager,
Product Image Video Production,
Product Innovation Officer,
product inspection accreditation,
Product list specifications matcher/Quality Control,
Product manager,
Product Marketing,
Product Marketing Officer,
Product Merchandiser,
product monitoring,
Product Promotion Officer,
Product Record Officer,
Product researcher,
Product Safety Officer,
Production & Marketing Officer,
Production & Marketing officer (Livestock),
Production / Video Recording,
Production Administrator,
Production and Service Supervisor,
Production and Technical Head,
Production Assistant,
Production Clerk,
Production Coordinator,
Production Designer,
Production Editor,
Production Engineer,
Production Expert,
Production Head,
production management,
Production Manager,
Production Officer,
Production Pharmacist,
Production Plan Follow up and Control Officer,
production processing and input manufacturing engineering,
Production Supervisor,
Production Systems Engineer,
Production team or equipment provider,
production unit head,
"production workers, all other",
"Production, Communication and Media Management Officer",
"production, planning, and expediting clerks",
productive and urban forest development,
productive development,
Products Inspection Lead Executive,
PROFESSION IN tourism,
professional and professional associations recognition and supervision,
professional associations recognition and supervision,
professional associations support and service,
professional for safety and quality assurance of aeronautical information management,
professional for safety and quality management of atm and search and rescue,
professional for study of education and training needs and gaps in constitutional and federalism survey,
professional for study of effectiveness and impact of constitutional and federalism education and training,
professional of constitutional and federalism education program,
Professional Officers Programme,
professional services,
professional staff,
professor,
Professor of Nail and Eyelash,
Professor or Associate Professor in ENT,
Professor or Associate Professor in Gastroenterology,
Professor or Associate Professor in Medical Oncology,
Professor or Associate Professor in Pediatrics or Neurology,
Professor or Associate Professor in Urology,
program & platform preparation,
PROGRAM ADMINISTRATIVE ASSISTANT,
Program Advocacy and Communications Advisor,
Program Analyst,
program and projects evaluation,
Program and Resource Mobilization Director,
Program Area Manager,
Program Assistant,
program budget monitoring and evaluation and budget summary,
program budget monitoring and evaluation and budget summary division head,
Program Budget Monitoring and Evaluation Expert,
Program Commodity Monitoring and Inspection,
Program Communication Officer,
Program Coordinator,
Program Development and Quality Manager,
Program Development Manager,
Program Development Officer,
Program Director,
Program Evaluation Consultant,
"Program Expert, Chairperson's Office",
Program Facilitator,
Program Finance Manager,
Program Implementation Advisor,
Program Management & Resource Mobilization Manager,
Program Manager,
Program Officer,
Program Planning,
Program Researcher,
Program Specialist,
Program Support and Monitoring Expert,
Program Support Coordinator,
Program Support Intern,
Program Support Officer,
Program Technical Lead,
Program Unit Head,
Program Verification,
"Program, Monitoring Evaluation Manager",
Programmatic Advertiser,
Programme Acceptance & Traffic Coordinator,
Programme Accountant,
Programme Administrator,
Programme and Budget,
Programme Assistant,
Programme Assistant-SNFI (RRF),
Programme Component Manager,
Programme Director,
Programme Implementation,
Programme Manager,
Programme Specialist,
Programmer,
Programmer Analyst,
Programmer of Financial Security Service,
Programs officer,
Programs/Projects Financial Management and Procurement,
Project & Proposal Development Officer,
Project Administration,
Project Administrative Assistant,
Project Advisory & Monitoring Officer,
Project Analyst,
Project and marketing head,
Project Appraisal Officer,
Project Assistant (Livelihoods),
Project Assistant â€“ Transition and Recovery,
Project Associate - ESNFI Cluster,
Project Associate (Peace and Development Coordination),
Project Auditor,
Project Coordinator,
Project Development,
Project Document,
Project Document Controller,
Project Documentation Writer,
Project EHS Manager,
Project Equipment Admin & Maintenance Head,
Project Equipment Administrator,
Project Evaluation & Technical Audit Division Head,
Project Facilitator,
Project Feasibility Analyst,
Project Feasibility Data Collector and Management Officer,
Project Field Engineer,
Project Field Facilitator,
Project Field Officer,
Project Finance and Grant Coordinator,
Project Finance and Property Admin Unit Head,
Project Finance Coordinator,
Project Finance Expert,
Project Finance Head,
Project Financial Analyst,
Project Fleet Officer,
Project Follow up & Support Engineer,
Project Follow up Engineer,
Project Grants Coordinator,
Project Head – Civil engineer,
Project Head of Surveillance,
Project Health Officer,
Project HR & General Service Unit Head,
Project HSE Manager,
Project Implementation Coordinator,
Project Implementation Document Writer,
Project Lead,
Project Logistics Officer,
Project Maintenance Coordinator,
Project Maintenance Head,
Project Maintenance Inspector,
Project Management,
Project Management Expert,
Project Management Officer,
Project Management Support,
"Project Management, Partnership and Resource Mobilization",
Project Manager,
Project Manager/Renewable Energy,
Project MERA Officer,
Project Officer - Cash Assistance,
Project Officer - Community Recovery and Resilience Project Health and Nutrition,
Project Officer â€“ Data Management and Geospatial Analyst,
"Project Officer â€“ Early Warning System, Vulnerability Based Targeting & Market monitoring.",
Project Officer â€“ Food Security Analyst,
Project Officer- Grants and Contracts,
Project Officer-Safeguarding and Protection,
Project Outsourcing,
Project Partnership Officer,
Project Personnel,
Project Pharmacy Manager,
Project Planner / Scheduler,
Project Planning Manager,
Project Planning Personal,
Project Procurement and Liaison Officer,
Project Property Administration Head,
Project Proposal,
Project Proposal Maker,
Project Purchaser,
Project Specialist,
Project Stock Controller,
Project Store Keeper,
Project Technical Expert,
Project Technical Officer,
Projections,
Projects Implementation Monitoring and Support,
Projects Preparation,
Promoter,
Promotion Officer,
Promotional and delivery operational Sales Person,
Promotional Materials Coordinator,
Prooflistener,
Proofreader for PHD Thesis,
Proofreaders and Copy Markers,
Prop Designer,
Property & Administration Specialist,
