Informal Works in English,Profession  in Amharic,Professional / Informal,sector,sub sector
"Head, HRD & Change Mgt. Division",HRD እና ለውጥ Mgt. ክፍፍል ኃላፊ,P,,
"Head, HRM Division",HRM ክፍል ኃላፊ,P,,
Head HR & Property Administration Department,የሰው ኃይል እና ንብረት አስተዳደር መምሪያ ኃላፊ,P,,
"Head, ICT Department",አይሲቲ ዲፓርትመንት ኃላፊ,P,,
"Head, IFB-Finance & Accounts Section",IFB-ፋይናንስ እና መለያዎች ክፍል ኃላፊ,P,,
"Head, Import Export Department",አስመጪ ኤክስፖርት መምሪያ ኃላፊ,P,,
"Head, Innovation Center",የፈጠራ ማዕከል ኃላፊ,P,,
"Head, Internal Audit Service",የውስጥ ኦዲት አገልግሎት ኃላፊ,P,,
"Head, Internal Control",ዋና የውስጥ ቁጥጥር ኃላፊ,P,,
Head- Legal Service,የህግ አገልግሎት ኃላፊ,P,,
Head Librarian,ዋና የቤተ-መጻህፍት ባለሙያ,P,,
"Head, Local Procurement",የአካባቢ ግዥ ኃላፊ,P,,
"Head, Logistics & Facility Management Division",ሎጂስቲክስ እና ፋሲሊቲ አስተዳደር ክፍል ኃላፊ,P,,
"Head, Maintenance & Technical Service",ጥገና እና ቴክኒካል አገልግሎት ኃላፊ,P,,
"Head, Management Information System Section",የአስተዳደር መረጃ ስርዓት ክፍል ኃላፊ,P,,
"Head, Management Systems Service",አስተዳደር ሲስተምስ አገልግሎት ኃላፊ,P,,
"Head, Marketing and Communications",ግብይት እና ግንኙነት ኃላፊ,P,,
Head of Business Development and Quality,የንግድ ልማት እና ጥራት ኃላፊ,P,,
Head of Coffee Purchase,የቡና ግዢ ኃላፊ,P,,
Head of content and production,የይዘት እና ምርት ኃላፊ,P,,
Head of content creater,የይዘት ፈጣሪ ኃላፊ,P,,
Head of Corporate Services,የኮርፖሬት አገልግሎቶች ኃላፊ,P,,
Head of Development Programmes,የልማት ፕሮግራሞች ኃላፊ,P,,
Head of digital content,የዲጂታል ይዘት ኃላፊ,P,,
Head of Education,የትምህርት ኃላፊ,P,,
Head of Engineering,የምህንድስና ኃላፊ,P,,
Head of Engineering and Innovation,የምህንድስና እና ፈጠራ ኃላፊ,P,,
Head Office Project Coordinator,ዋና መሥሪያ ቤት ፕሮጀክት አስተባባሪ,P,,
Head of Finance Reporting and Control,የፋይናንስ ሪፖርት እና ቁጥጥር ኃላፊ,P,,
Head of Financial Reporting & Controls,የፋይናንስ ሪፖርት አቀራረብ እና ቁጥጥር ኃላፊ,P,,
Head of Human Resource Deployment and Control,የሰው ሃይል ስምሪት እና ቁጥጥር ኃላፊ,P,,
Head of Investment - Ethiopia,የኢንቨስትመንት ኃላፊ,P,,
Head of IT Infrastructure and Security Division,የአይቲ መሠረተ ልማት እና ደህንነት ክፍል ኃላፊ,P,,
Head of janitors /cleaner’s supervisor,የፅዳት ሰራተኛ/የጽዳት ተቆጣጣሪ ሃላፊ,P,,
Head of Legal Department,የሕግ ክፍል ኃላፊ,P,,
Head of Logistics and Inventory,የሎጂስቲክስ እና ኢንቬንቶሪ ኃላፊ,P,,
Head of Maintenance,የጥገና ኃላፊ,P,,
Head of Marketing Department,የግብይት መምሪያ ኃላፊ,P,,
Head of Mission Support,የተልእኮ ድጋፍ ኃላፊ,P,,
"Head of Monitoring, Evaluation, Research & Learning (MERL)",የክትትል፣ ግምገማ፣ ምርምር እና ትምህርት (MERL) ኃላፊ,P,,
Head of National Programs,የብሔራዊ ፕሮግራሞች ኃላፊ,P,,
Head of Pedagogical Center,የፔዳጎጂካል ማእከል ኃላፊ,P,,
Head of Pedagogy Center,የፔዳጎጂ ማእከል ኃላፊ,P,,
"Head of Planning, Monitoring & Evaluation Dept",የእቅድ፣ ክትትል እና ግምገማ ዲፕት ኃላፊ,P,,
Head of Policy and Advocacy,የፖሊሲ እና ጥብቅና ኃላፊ,P,,
Head of Procurement and Contracting,የግዥ እና የኮንትራት ኃላፊ,P,,
Head of Program / Deputy General Coordinator,የፕሮግራሙ ኃላፊ / ምክትል ዋና አስተባባሪ,P,,
Head of Quality Control,የጥራት ቁጥጥር ኃላፊ,P,,
Head of Quality Control and Assurance Service,የጥራት ቁጥጥር እና ማረጋገጫ አገልግሎት ኃላፊ,P,,
Head of Receptions and cashier,የመቀበያ እና ገንዘብ ተቀባይ ኃላፊ,P,,
Head of Retails ETrade,የችርቻሮ ንግድ ETrade ኃላፊ,P,,
Head of Sales & Marketing Department,የሽያጭ እና ግብይት መምሪያ ኃላፊ,P,,
Head of School,የትምህርት ቤት ኃላፊ,P,,
Head of security,የደህንነት ኃላፊ,P,,
Head of Strategy,የስትራቴጂው ኃላፊ,P,,
Head of Sub Office/ Field Office,የንዑስ መሥሪያ ቤት/ የመስክ ቢሮ ኃላፊ,P,,
Head of Technical and Engineering Department,የቴክኒክ እና ምህንድስና ክፍል ኃላፊ,P,,
Head of Training Department,የሥልጠና ክፍል ኃላፊ,P,,
Head of Treasury,የግምጃ ቤት ኃላፊ,P,,
"Head, Planning & Monitoring Service",እቅድ እና ክትትል አገልግሎት ኃላፊ,P,,
"Head, Pre-Hospital Emergency Care Services",የቅድመ-ሆስፒታል የድንገተኛ ጊዜ እንክብካቤ አገልግሎቶች ኃላፊ,P,,
"Head, Project Equipment Maintenance Section",የፕሮጀክት መሳሪያዎች ጥገና ክፍል ኃላፊ,P,,
"Head, Quality Assurance and Management Service",የጥራት ማረጋገጫ እና አስተዳደር አገልግሎት ኃላፊ,P,,
Head Research and Community Engagement,ዋና ምርምር እና የማህበረሰብ ተሳትፎ,P,,
"Head, Rewards and Benefits Section",ዋና ሽልማቶች እና ጥቅሞች ክፍል,P,,
Heads for Campus Registrar,የካምፓስ ሬጅስትራር ኃላፊዎች,P,,
"Head, SME Loans Section",SME ብድር ክፍል ኃላፊ,P,,
Head Store Keeper,ዋና መደብር ጠባቂ,P,,
"Head, Succession and Career Section",ዋና ተተኪ እና የስራ ክፍል ኃላፊ,P,,
Head - Training Coordinator,የስልጠና አስተባባሪ ኃላፊ,P,,
Head- Training & Development,ዋና ስልጠና እና ልማት ኃላፊ,P,,
Health Adviser,የጤና አማካሪ,P,,
Health and Nutrition Advisor,የጤና እና የአመጋገብ አማካሪ,P,,
Health and Nutrition & FSL Coordinator,የጤና እና የተመጣጠነ ምግብ እና የኤፍኤስኤል አስተባባሪ,P,,
Health and Nutrition IM Intern,ጤና እና አመጋገብ IM Intern,P,,
Health and Nutrition in Emergency Specialist,በድንገተኛ ስፔሻሊስት ውስጥ ጤና እና አመጋገብ,P,,
Health and Nutrition Manager,የጤና እና አመጋገብ አስተዳዳሪ,P,,
Health and Physical Education Teacher,የጤና እና የአካል ትምህርት መምህር,P,,
Health and physical Teacher,ጤና እና አካላዊ መምህር,P,,
Health and safety expert.,የጤና እና ደህንነት ባለሙያ.,P,,
Health and safety officer,የጤና እና ደህንነት መኮንን,P,,
Health and Safety Officers/Engineers,የጤና እና ደህንነት መኮንኖች/መሐንዲሶች,P,,
Health and safety specialist,የጤና እና ደህንነት ባለሙያ,P,,
Health Blog Writer,የጤና ብሎግ ጸሐፊ,P,,
Healthcare Quality Assessor,የጤና እንክብካቤ ጥራት ገምጋሚ,P,,
Health Center Finance and Administrator,የጤና ማእከል ፋይናንስ እና አስተዳዳሪ,P,,
Health consultant,የጤና አማካሪ,P,,
Health Content Creator,የጤና ይዘት ፈጣሪ,P,,
Health Control Specialist,የጤና ቁጥጥር ባለሙያ,P,,
Health Coordinator,የጤና አስተባባሪ,P,,
"Health Expert, Deputy Head of Department","የጤና ኤክስፐርት, የመምሪያው ምክትል ኃላፊ",P,,
Health Extension Worker,የጤና ኤክስቴንሽን ሠራተኛ,P,,
Health Field Officer 1 (MIDWIFE),የጤና መስክ ኦፊሰር ሚድዋይፍ,P,,
"Health Financing Technical Assistant, Membership Affairs",የጤና ፋይናንስ ቴክኒካል ረዳት፣ የአባልነት ጉዳዮች,P,,
"Health Financing Technical Assistant, Quality Assurance Directorate",የጤና ፋይናንስ ቴክኒካል ረዳት፣ የጥራት ማረጋገጫ ዳይሬክቶሬት,P,,
Health Informatics Specialist,የጤና ኢንፎርማቲክስ ስፔሻሊስት,P,,
Health Information Management Service (HIMS),የጤና መረጃ አስተዳደር አገልግሎት (HIMS),P,,
Health/ Medical Video content creators,የጤና/ የህክምና ቪዲዮ ይዘት ፈጣሪዎች,P,,
"Health, Nutrition and WASH Program Manager",የጤና፣ የተመጣጠነ ምግብ እና የውሃ ማጠቢያ ፕሮግራም አስተዳዳሪ,P,,
"Health Officer, EHF Project /Afar region, Teru Woreda",የጤና ኦፊሰር የኢ.ኤች.ኤፍ ፕሮጀክት,P,,
Health Organization Quality Auditor,የጤና ድርጅት ጥራት ኦዲተር,P,,
Health & Physical Education Teacher,የጤና እና የአካል ትምህርት መምህር,P,,
Health Project Manager,የጤና ፕሮጀክት ሥራ አስኪያጅ,P,,
Health Quality Management & Assurance Officer,የጤና ጥራት አስተዳደር እና ዋስትና ኦፊሰር,P,,
Health researcher,የጤና ተመራማሪ,P,,
"Health, Safety and Environment Officer",የጤና፣ ደህንነት እና አካባቢ ኦፊሰር,P,,
Health Supply Chain Advisor,የጤና አቅርቦት ሰንሰለት አማካሪ,P,,
Health Systems Strengthening (HSS) Officer,የጤና ሲስተምስ ማጠናከሪያ (HSS) ኦፊሰር,P,,
Healthy Village Project Coordinator,ጤናማ መንደር ፕሮጀክት አስተባባሪ,P,,
"Heat, Ventilation & AC Technician",ሙቀት፣ አየር ማናፈሻ እና የኤሲ ቴክኒሽያን,P,,
Heavy Duty Equipment Mechanic,ከባድ ተረኛ መሣሪያዎች መካኒክ,P,,
Heavy Duty Machinery –Electrician,ከባድ ተረኛ ማሽን - ኤሌክትሪክ ባለሙያ,P,,
Heavy Duty Track Driver,የከባድ ተረኛ ትራክ ነጂ,P,,
Heavy Duty Trucks Mechanic,ከባድ ተረኛ መኪናዎች መካኒክ,P,,
Help Desk Agent / Trainer,የእገዛ ዴስክ ወኪል / አሰልጣኝ,P,,
Help Desk / Front Desk Assistant,የእገዛ ዴስክ / የፊት ዴስክ ረዳት,P,,
Help-Desk Support Technician,የእገዛ ዴስክ ድጋፍ ቴክኒሻን,P,,
Helper Mechanic for Construction Machinery,ለግንባታ ማሽነሪዎች አጋዥ መካኒክ,P,,
Hennah design Teacher,የሄና ንድፍ መምህር,P,,
High-Bed Operator,ባለከፍተኛ አልጋ ኦፕሬተር,P,,
High Level Executive Assistant,የከፍተኛ ደረጃ ሥራ አስፈፃሚ ረዳት,P,,
Highly experienced wedding protocol,ከፍተኛ ልምድ ያለው የሰርግ ፕሮቶኮል,P,,
Highly Export Manager,ከፍተኛ ኤክስፖርት አስተዳዳሪ,P,,
Highly motivated Digital Marketer and content developer,ከፍተኛ ተነሳሽነት ያለው ዲጂታል ገበያተኛ እና የይዘት ገንቢ,P,,
Highly Skilled Motion Graphic Designer,ከፍተኛ ችሎታ ያለው የእንቅስቃሴ ግራፊክ ዲዛይነር,P,,
Highly technical Business Analyst,ከፍተኛ የቴክኒክ የንግድ ተንታኝ,P,,
High Quality Printing Service,ከፍተኛ ጥራት ያለው የህትመት አገልግሎት,P,,
High quality rendering from SOLIDWORKS assembly file,ከ SOLIDWORKS የመሰብሰቢያ ፋይል ከፍተኛ ጥራት ያለው አቀራረብ,P,,
teacher,መምህር,P,,
Highway and Road construction project manager,የሀይዌይ እና መንገድ ግንባታ ፕሮጀክት ስራ አስኪያጅ,P,,
Highway Engineer,የሀይዌይ ኢንጂነር,P,,
HINGO Deputy Director,የ HINGO ምክትል ዳይሬክተር,P,,
HIV counselor and Interviewer,የኤች አይ ቪ አማካሪ እና ቃለ መጠይቅ,P,,
HIV Service Linkage Officer,የኤችአይቪ አገልግሎት ትስስር ኦፊሰር,P,,
HIV Service Manager,የኤችአይቪ አገልግሎት አስተዳዳሪ,P,,
HIV Service Officer & Care and Support Service Officer,የኤች አይ ቪ አገልግሎት ኦፊሰር እና እንክብካቤ እና ድጋፍ አገልግሎት ኦፊሰር,P,,
HIV Service Officer/ Community Engagement Facilitator.,የኤችአይቪ አገልግሎት ኦፊሰር/የማህበረሰብ ተሳትፎ አመቻች,P,,
HIV Services Officer/Specialist,የኤችአይቪ አገልግሎት ኦፊሰር/ልዩ ባለሙያ,P,,
HKOFood Preparation Instructor,የHKOFood ዝግጅት አስተማሪ,P,,
HO Accountant,HO አካውንታንት።,P,,
HOD – Telecoms & Managed Services,HOD - ቴሌኮም እና የሚተዳደሩ አገልግሎቶች,P,,
home based care provider,የቤት ውስጥ እንክብካቤ አቅራቢ,U,,
Home Cook (የቤት ውስጥ ምግብ አብሳይ),Home Cook (የቤት ውስጥ ምግብ አብሳይ),I,,
Home/InClass Tutor,የቤት/የክፍል አስተማሪ,,,
Home male tutor for grade 10 and 3 students,ለ10ኛ ክፍል እና ለ3ኛ ክፍል ተማሪዎች የቤት ወንድ አስተማሪ,,,
Home nurse and physiotherapist,የቤት ነርስ እና የፊዚዮቴራፒ ባለሙያ,P,,-
"Home Psychiatrist/Psychologist (Parttime, for Kids)",ቤት የሥነ አእምሮ ሐኪም/ሳይኮሎጂስት,P,,
Home setup builder,የቤት ማዋቀር ገንቢ,P,,
Home Tutor and Educational Mentor,የቤት አስተማሪ እና የትምህርት አማካሪ,P,,
Home Tutor Service,የቤት አስጠኚ አገልግሎት,P,,
Honey Marketing and Livelihood Facilitator,የማር ግብይት እና መተዳደሪያ አመቻች,P,,
Honey Marketing and Livelihood Officer,የማር ማርኬቲንግ እና መተዳደሪያ ኃላፊ,P,,
Horticultural Professional,የሆርቲካልቸር ባለሙያ,P,,
Horticulture and Plant Science Associate,የሆርቲካልቸር እና የእፅዋት ሳይንስ ተባባሪ,P,,
Horticulture Assistant Officer,የሆርቲካልቸር ረዳት መኮንን,P,,
Hospital Cashier,የሆስፒታል ገንዘብ ተቀባይ,P,,
Hospital Facility Manager,የሆስፒታል ተቋም ሥራ አስኪያጅ,P,,
Hospitality and tourism,እንግዳ ተቀባይነት እና ቱሪዝም,P,,
Hospitality Manager/ Cafeteria & Catering Manager,የመስተንግዶ ሥራ አስኪያጅ/የካፌቴሪያ እና የምግብ ዝግጅት አስተዳዳሪ,P,,
Hospital Pharmacist,የሆስፒታል ፋርማሲስት,P,,
ፕሮግራም አስተዋዋቂ (host),ፕሮግራም አስተዋዋቂ (host),P,,
Host and Show Manager for a YouTube Channel,ለYouTube ቻናል አስተናጋጅ እና ሾው አስተዳዳሪ,P,,
"Host for Digital Talk Show (Lead): Males & Females, 21+ (Excellent English Speaker)",የዲጂታል ቶክ ሾው አስተናጋጅ,P,,
Host for our Social media channel,ለማህበራዊ ሚዲያ ቻናላችን አዘጋጅ,P,,
Host for (Virtual Reality) VR Video,ለ (ምናባዊ እውነታ) ቪአር ቪዲዮ አስተናጋጅ,P,,
Apartment Manager,የአፓርትመንት አስተዳዳሪ,P,,
Hotel booking commission,የሆቴል ማስያዣ ኮሚሽን,U,,
Hotel manager,የሆቴል ሥራ አስኪያጅ,P,,
Hotel Manager and Accountant,የሆቴል ሥራ አስኪያጅ እና አካውንታንት,P,,
Hotel Receptionist,ሆቴል እንግዳ ተቀባይ,P,,
Hotel/Restaurant Manager,ሆቴል / ምግብ ቤት አስተዳዳሪ,P,,
Hotel sales and marketing manager,የሆቴል ሽያጭ እና ግብይት አስተዳዳሪ,P,,
Hotel Security,የሆቴል ደህንነት,P,,
Housekeeping Coordinator,የቤት አያያዝ አስተባባሪ,U,,
Housekeeping & Laundry Supervisor,የቤት አያያዝ እና የልብስ ማጠቢያ ተቆጣጣሪ,U,,
የቤት አያያዝ አስተዳዳሪ,የቤት አያያዝ አስተዳዳሪ,P,,
Housemaid,የቤት ሰራተኛ,I,,
HR Admin & Payroll Head,የሰው ኃይል አስተዳዳሪ እና ደሞዝ ኃላፊ,P,,
HR & Admin Supervisor,የሰው ኃይል እና የአስተዳዳሪ ተቆጣጣሪ,P,,
HR Analytics Specialist,የሰው ኃይል ትንታኔ ባለሙያ,P,,
HR AND ADMIN. MANAGER,የሰው ኃይል እና አድሚን. አስተዳዳሪ,P,,
HR and Facility Management Department Manager,የሰው ኃይል እና የፋሲሊቲ አስተዳደር መምሪያ ሥራ አስኪያጅ,P,,
HR and Finance Director,የሰው ኃይል እና ፋይናንስ ዳይሬክተር,P,,
HR and OD - Performance Manager,HR እና OD - የአፈጻጸም አስተዳዳሪ,P,,
HR and propriety Administration,የሰው ኃይል እና የባለቤትነት አስተዳደር,P,,
HR and Video Editor,HR እና ቪዲዮ አርታዒ,P,,
HR Assistance & Logistics,የሰው ኃይል እርዳታ እና ሎጂስቲክስ,P,,
HR Business Partner-For Dire Dawa District Office,የሰው ኃይል ንግድ አጋር,P,,
HR Business Partner Office,ዲስትሪክት ጽ/ቤት የሰው ኃይል ቢዝነስ አጋር,P,,
HR Business Partner Supervisor,HR የንግድ አጋር ሱፐርቫይዘር,P,,
HR Consultant,የሰው ኃይል አማካሪ,P,,
HR consultant and Analyst,የሰው ኃይል አማካሪ እና ተንታኝ,P,,
HR & Customer service officer,የሰው ኃይል እና የደንበኞች አገልግሎት መኮንን,P,,
HR Database Administrator - Intern,የሰው ኃይል ዳታቤዝ አስተዳዳሪ - ኢንተር,P,,
HR & Data record System,የሰው ኃይል እና የውሂብ መዝገብ ስርዓት,P,,
HR Division Business Development Team Lead,የሰው ኃይል ክፍል የንግድ ልማት ቡድን መሪ,P,,
HR Documentation Assistant,የሰው ኃይል ሰነድ ረዳት,P,,
HR Documentation Clerk,የሰው ኃይል ሰነድ ጸሐፊ,P,,
HR & Gen. Admin Manager,የሰው ኃይል እና ጄኔራል አስተዳዳሪ አስተዳዳሪ,P,,
HR & General Service Head,የሰው ኃይል እና አጠቃላይ አገልግሎት ኃላፊ,P,,
HR & GS Officer,የሰው ኃይል እና ጂ.ኤስ. ኦፊሰር,P,,
HR Information Clerk,የሰው ኃይል መረጃ ጸሐፊ,P,,
HR Internship,HR internship,P,,
HR & Logistic Officer,የሰው ኃይል እና የሎጂስቲክስ ኦፊሰር,P,,
HR Manager and Data record officer,የሰው ኃይል አስተዳዳሪ እና የውሂብ መዝገብ መኮንን,P,,
HR Manager & Training Manager,የሰው ኃይል ሥራ አስኪያጅ እና የሥልጠና ሥራ አስኪያጅ,P,,
HRM and Organizational Development Manager,HRM እና ድርጅታዊ ልማት ሥራ አስኪያጅ,P,,
HR manger,የሰው ኃይል አስተዳዳሪ,P,,
HRM Division Head,HRM ክፍል ኃላፊ,P,,
HRM(Human resource Manager for factory),HRM (የፋብሪካው የሰው ሀብት ሥራ አስኪያጅ),P,,
HRM Trainer,የኤችአርኤም አሰልጣኝ,P,,
HR & OD Specialist,የሰው ኃይል እና ኦዲ ስፔሻሊስት,P,,
HR officer and Office Assistant,የሰው ኃይል መኮንን እና የቢሮ ረዳት,P,,
HR Officer – Benefits and Safeguarding,የሰው ኃይል መኮንን - ጥቅሞች እና ጥበቃዎች,P,,
HR Officer & Contractual Manager,የሰው ኃይል ኦፊሰር እና የኮንትራት ሥራ አስኪያጅ,P,,
HR & Operations Manager,የሰው ኃይል እና ኦፕሬሽን ሥራ አስኪያጅ,P,,
HR & Organizational Development Director,የሰው ኃይል እና ድርጅታዊ ልማት ዳይሬክተር,P,,
HR Personnel Officer,የሰው ኃይል ሰራተኛ መኮንን,P,,
HR Planning Development Division Head,የሰው ኃይል እቅድ ልማት ክፍል ኃላፊ,P,,
HR Policy Manual Preparation,የሰው ኃይል ፖሊሲ መመሪያ ዝግጅት,P,,
HR Recruitment & Promotion Officer job description,የሰው ኃይል ምልመላ እና ማስተዋወቂያ ኦፊሰር የስራ መግለጫ,P,,
HR & safeguarding coordinator,የሰው ኃይል እና ጥበቃ አስተባባሪ,P,,
HRSenior Officer,የኤችአርኤስ ዋና መኮንን,P,,
HR specialist,የሰው ኃይል ስፔሻሊስት,P,,
HR Specialist _Training and Development,የሰው ሃይል ስፔሻሊስት _ስልጠና እና ልማት,P,,
HR system developer company,የሰው ኃይል ስርዓት ገንቢ ኩባንያ,P,,
HR (Talent Aquisation specialist),የሰው ሃይል (የችሎታ አኳይዜሽን ባለሙያ),P,,
HSE Enginer,HSE መሐንዲስ,P,,
HSE Head,HSE ኃላፊ,P,,
HSE Officer,የኤችኤስኢ ኦፊሰር,P,,
HST Young Leaders Professional Development Program,HST ወጣት መሪዎች ሙያዊ ልማት ፕሮግራም,P,,
HTML5 2D Game developer,HTML5 2D ጨዋታ ገንቢ,P,,
HTML & CSS drveloper,ኤችቲኤምኤል እና ሲኤስኤስ ሾፌር,P,,
"HTML,css, js, php coder",HTML፣ css፣ js፣ php ኮድደር,P,,
Project Implementation Coordinator,ፕሮጀክት ትግበራ አስተባባሪ,P,,
Humam Resource Management (Cafe & Restaurant Experience only),የሰው ሀብት አስተዳደር t (የካፌ እና የምግብ ቤት ልምድ ብቻ  ባለሙያ),P,,
Human Capital & General Service Manager,የሰው ካፒታል እና አጠቃላይ አገልግሎት ሥራ አስኪያጅ,P,,
Human Capital Management Officer Under Performance Management & Succession Planning Division,የሰው ካፒታል አስተዳደር ኦፊሰር በአፈጻጸም አስተዳደር እና ተተኪ እቅድ ዝግጅት ክፍል,P,,
Human Capital Management Supervisor,የሰው ካፒታል አስተዳደር ተቆጣጣሪ,P,,
Human Capital Officer,የሰው ካፒታል ኦፊሰር,P,,
Humanitarian Access and Safety Manager,የሰብአዊ መዳረሻ እና ደህንነት አስተዳዳሪ,P,,
Humanitarian Access and Security Officer,የሰብአዊ ተደራሽነት እና ደህንነት ኦፊሰር,P,,
Humanitarian Adviser (26/23 ADD),የሰብአዊ አማካሪ,P,,
HUMANITARIAN AFFAIRS OFFICER,የሰብአዊ ጉዳዮች ኦፊሰር,P,,
Humanitarian and Disability Project Coordinator,የሰብአዊ እና የአካል ጉዳት ፕሮጀክት አስተባባሪ,P,,
Humanitarian Assistance and Protection Officer,የሰብአዊ እርዳታ እና ጥበቃ ኦፊሰር,P,,
Humanitarian Assistance Developmental Evaluator,የሰብአዊ እርዳታ ልማታዊ ገምጋሚ,P,,
Humanitarian Coordinator,የሰብአዊነት አስተባባሪ,P,,
Humanitarian Disarmament and Peace Building (HDP) Coordinator,የሰብአዊ ትጥቅ ማስፈታት እና የሰላም ግንባታ (ኤችዲፒ) አስተባባሪ,P,,
Humanitarian Emergency Affairs Coordinator,የሰብአዊ ድንገተኛ አደጋዎች አስተባባሪ,P,,
Humanitarian Program Manager,የሰብአዊነት ፕሮግራም አስተዳዳሪ,P,,
Humanitarian Program Officer,የሰብአዊ እርዳታ ፕሮግራም ኦፊሰር,P,,
Humanitarian Program Technical Advisor,የሰብአዊነት ፕሮግራም የቴክኒክ አማካሪ,P,,
Humanitarian Project Coordinator,የሰብአዊነት ፕሮጀክት አስተባባሪ,P,,
Humanitarian response/Voluntary Services,የሰብአዊ ምላሽ/የፈቃደኝነት አገልግሎቶች,P,,
Human Recourse Documentation Assistant,የሰው ምላሽ ሰነድ ረዳት,P,,
Human Resource/Admin and IT Officer,የሰው ሃይል/አስተዳዳሪ እና የአይቲ ኦፊሰር,P,,
Human Resource & Admin Head,የሰው ኃይል እና አስተዳደር ኃላፊ,P,,
Human Resource and Building Administration Manager,የሰው ሃብትና ህንጻ አስተዳደር ስራ አስኪያጅ,P,,
Human resource and General office administration,የሰው ኃይል እና አጠቃላይ ጽሕፈት ቤት አስተዳደር,P,,
Human Resource and General Service Head,የሰው ኃይል እና አጠቃላይ አገልግሎት ኃላፊ,P,,
Human Resource and General Service (HR & GS) Officer,የሰው ኃይል እና አጠቃላይ አገልግሎት (HR & GS) ኦፊሰር,P,,
Human Resource and Office admin,የሰው ኃይል እና የቢሮ አስተዳዳሪ,P,,
Human Resource and Recruitment,የሰው ኃይል እና ምልመላ,P,,
Human Resource Business Partner,የሰው ሀብት የንግድ አጋር,P,,
Human Resource & General service Dep.t Head,የሰው ሃብት እና አጠቃላይ አገልግሎት ዲፕ.ቲ ኃላፊ,P,,
Human Resource & G.s Admin,የሰው ሃይል እና ጂ.ኤስ አስተዳዳሪ,P,,
Human Resource Information System (HRIS) Expert,የሰው ሃብት መረጃ ስርዓት (HRIS) ባለሙያ,P,,
Human Resource Intermediate officer,የሰው ኃይል መካከለኛ መኮንን,P,,
Human resource officer and logistic support,የሰው ኃይል መኮንን እና የሎጂስቲክስ ድጋፍ,P,,
Human Resource Operation Division Manager,የሰው ሀብት ኦፕሬሽን ዲቪዥን ሥራ አስኪያጅ,P,,
Human Resource Operations Management Officer,የሰው ሀብት ስራዎች አስተዳደር ኦፊሰር,P,,
Human Resource Planning Officer,የሰው ሃብት እቅድ ኦፊሰር,P,,
Human Resources/Contracts Manager,የሰው ኃይል / ኮንትራቶች ሥራ አስኪያጅ,P,,
Human Resource Services Section Head,የሰው ሀብት አገልግሎት ክፍል ኃላፊ,P,,
Human Resources Expert,የሰው ሀብት ኤክስፐርት,P,,
Human Resources & Organizational Development Manager,የሰው ኃይል እና ድርጅታዊ ልማት ሥራ አስኪያጅ,P,,
Human Resources Specialist and office admin,የሰው ኃይል ስፔሻሊስት እና የቢሮ አስተዳዳሪ,P,,
Human Resource &Training officer,የሰው ኃይል እና የሥልጠና ኦፊሰር,P,,
Human Rights Advisor,የሰብአዊ መብት አማካሪ,P,,
Human Rights and Advocacy Coordinator,የሰብአዊ መብት እና ተሟጋች አስተባባሪ,P,,
human rights essay writer,የሰብአዊ መብት መጣጥፍ ጸሐፊ,P,,
"Human Rights Officer, Monitoring and Stakeholder Engagement",የሰብአዊ መብት ኦፊሰር፣ ክትትል እና ባለድርሻ አካላት ተሳትፎ,P,,
HVAC and Refrigeration Technicians,HVAC እና የማቀዝቀዣ ቴክኒሻኖች,P,,
HVAC Engineer,HVAC መሐንዲስ,P,,
Hybrid Mobile App Developer/Full stack developer,ድብልቅ የሞባይል መተግበሪያ ገንቢ/ሙሉ ቁልል ገንቢ,P,,
Hydraulic and Water Resource Engineer,የሃይድሮሊክ እና የውሃ ሀብት መሐንዲስ,P,,
Hydraulic Engineer,የሃይድሮሊክ መሐንዲስ,P,,
Hydraulic Maintenance Technician,የሃይድሮሊክ ጥገና ቴክኒሻን,P,,
Hydrogeological Investigation Team Leader,የሃይድሮጂኦሎጂካል ምርመራ ቡድን መሪ,P,,
Hydrogeologist,ሃይድሮጂዮሎጂስት,P,,
Hydrology and Hydraulic Engineer in Roadway and Railway.,የሃይድሮሎጂ እና የሃይድሮሊክ መሐንዲስ በመንገድ እና በባቡር ሐዲድ,P,,
Hydro-Mechanical / Mechanical Engineer,ሃይድሮ-ሜካኒካል / መካኒካል መሐንዲስ,P,,
Hygiene and Food Safety (HFS) Trainer,የንጽህና እና የምግብ ደህንነት (HFS) አሰልጣኝ,P,,
Hygiene and Health Expert,የንፅህና እና የጤና ባለሙያ,P,,
Hygiene and SBC Coordinator:,የንጽህና እና የኤስቢሲ አስተባባሪ,P,,
Hygiene Manager,የንፅህና አጠባበቅ አስተዳዳሪ,P,,
Hygiene Promotion/PLA Officer,የንጽህና ማስተዋወቅ/PLA ኦፊሰር,P,,
Hygiene & Sanitation Officer,የንፅህና እና ንፅህና ኦፊሰር,P,,
Hygiene & Sanitation Promoter,የንፅህና እና የንፅህና አጠባበቅ አራማጅ,P,,
Hygiene & SBC Officer,የንጽህና እና የኤስቢሲ ኦፊሰር,P,,
IaC Developer,IaC ገንቢ,P,,
"ICAP National Technical Advisor, GF-C19RM",ICAP ብሔራዊ የቴክኒክ አማካሪ፣ GF-C19RM,,,
Ice Cream Shop sales person,አይስ ክሬም ሱቅ ሻጭ ሰው,I,,
Icon Pack Designer,አዶ ጥቅል ዲዛይነር,P,,
ICT administration,የአይሲቲ አስተዳደር,P,,
