informal work in eng,Profession in Amharic,professional/ formal,sector,sub sector
Senior-IFRS Accountant,ሲኒየር-IFRS አካውንታንት,P,,
Senior-Network Administrator,ሲኒየር-አውታረ መረብ አስተዳዳሪ,P,,
Senor Microbiologists,ሴኖር ማይክሮባዮሎጂስቶች,P,,
"Senor Researcher I, Grade IV (Macroeconomist)",ሲናር ተመራማሪ I፣ IV ክፍል (ማክሮ ኢኮኖሚስት),P,,
SEO frontend & backend web designer,SEO የፊት ለፊት እና የኋላ ድር ንድፍ አውጪ,P,,
Seo optimized food blogs and recipes articles Writer,የ Seo የተመቻቹ የምግብ ብሎጎች እና የምግብ አዘገጃጀት መጣጥፎች ጸሐፊ,U,,
Seo specialist,ሴኦ ስፔሻሊስት,U,,
SEO specialist and blog writer,SEO ስፔሻሊስት እና የብሎግ ጸሐፊ,U,,
SEO Specialist/Wordpress/ Marketing Specialist,SEO ስፔሻሊስት / የዎርድፕረስ / የግብይት ስፔሻሊስት,U,,
SEO Trainee,SEO ሰልጣኝ,U,,
SEO Writer / Graphics Designer/ Marketing manager,SEO ጸሐፊ / ግራፊክስ ዲዛይነር / የግብይት ሥራ አስኪያጅ,U,,
Server & Storage Administrator II,አገልጋይ እና ማከማቻ አስተዳዳሪ II,P,,
Server / general,አገልጋይ / አጠቃላይ,P,,
Server Storage Expert,የአገልጋይ ማከማቻ ባለሙያ,P,,
Service /Communication and Liaising Manager for Partner National Society (PNS),ለአጋር ብሄራዊ ማህበረሰብ አገልግሎት/ግንኙነት እና ግንኙነት ስራ አስኪያጅ,P,,
Service Center Coordinator,የአገልግሎት ማእከል አስተባባሪ,P,,
Service Channel Manager,የአገልግሎት ቻናል አስተዳዳሪ,P,,
Service Deliver Manager,የአገልግሎት ሰጪ አስተዳዳሪ,P,,
Service Person - Lighting,የአገልግሎት ሰው - መብራት,U,,
Set Game Zone Achawach,የጨዋታ ዞን አቻዋች አዘጋጅ,I,,
Settlement officer,የሰፈራ መኮንን,P,,
Settlement Team Leader,የሰፈራ ቡድን መሪ,P,,
Sewer,የፍሳሽ ማስወገጃ,U,,
Sewing Machine Mechanic,የልብስ ስፌት ማሽን ሜካኒክ,U,,
Sewing Specialist,የልብስ ስፌት ስፔሻሊስት,U,,
Sewing Supervisor,የልብስ ስፌት ተቆጣጣሪ,P,,
Sexual and Gender-Based Violence Officer,በጾታ እና በፆታ ላይ የተመሰረተ ጥቃት መኮንን,P,,
Sexual and Reproductive Health and Rights Officers,የወሲብ እና የስነ ተዋልዶ ጤና እና የመብት ኃላፊዎች,P,,
SharePoint Developer,SharePoint ገንቢ,P,,
Shariah Advisory Committee (SAC) Secretary,የሸሪዓ አማካሪ ኮሚቴ (SAC) ጸሐፊ,P,,
Shariah Compliance Officer,የሸሪዓ ተገዢነት ኦፊሰር,P,,
Sheet Metal Technician,የሉህ ብረት ቴክኒሻን,P,,
Shelter and non food item Officer,የመጠለያ እና የምግብ እቃ ያልሆነ መኮንን,U,,
Shelter Engineer,የመጠለያ መሐንዲስ,U,,
Shelter NFI Wash Clerk,የመጠለያ NFI ማጠቢያ ሰራተኛ,U,,
Shelter NFIs Coordinator,የመጠለያ NFIs አስተባባሪ,U,,
Shelter Officer,የመጠለያ መኮንን,U,,
Shemane,ሸማኔ,U,,
Shift Mechanical Artisan,Shift ሜካኒካል የእጅ ባለሙያ,P,,
Shift Quality Assurance / Control Technician,Shift ጥራት ማረጋገጫ / ቁጥጥር ቴክኒሽያን,P,,
Shift Quality Inspector,የ Shift ጥራት መርማሪ,P,,
Shift Quality Supervisor,የ Shift ጥራት ተቆጣጣሪ,P,,
Shift Technologist,ፈረቃ የቴክኖሎጂ ባለሙያ,U,,
Shoe and Garment Marketer,ጫማ እና አልባሳት ገበያተኛ,P,,
Shoe Technologist,የጫማ ቴክኖሎጂ ባለሙያ,U,,
Shop Welder,ብየዳ,U,,
Shopify and Wordpress developer,Shopify እና Wordpress ገንቢ,P,,
Shopify expert(International),የ Shopify ባለሙያ (አለምአቀፍ),U,,
Shopify Store Designer,Shopify መደብር ዲዛይነር,U,,
Short Animated Video creator,አጭር አኒሜሽን ቪዲዮ ፈጣሪ,P,,
Short comedy play writter,አጭር የአስቂኝ ጨዋታ ደራሲ,P,,
Short video production and script writing,አጭር የቪዲዮ ፕሮዳክሽን እና ስክሪፕት አጻጻፍ,P,,
Automotive Trainers,አውቶሞቲቭ አሰልጣኞች,P,,
Data Controller,የውሂብ መቆጣጠሪያ,P,,
Senior Database Administrator,ከፍተኛ የውሂብ ጎታ አስተዳዳሪ,P,,
Shrink Packing Machine Operator,የማሸጊያ ማሽን ኦፕሬተርን ይቀንሱ,U,,
Shuttle Driver,የማመላለሻ ሹፌር,P,,
Sidama language translator,የሲዳማ ቋንቋ ተርጓሚ,U,,
Sign Language Interpreter,የምልክት ቋንቋ አስተርጓሚ,P,,
Signatory Officer,የፈራሚ መኮንን,U,,
Simple 3D Video Maker,ቀላል 3D ቪዲዮ ሰሪ,P,,
Singer and voice over actor,ዘፋኝ እና ድምጽ በተዋናይ ላይ,P,,
Singer/vocalist,ዘፋኝ/ድምፃዊ,P,,
Single Facer Machine Operator,ነጠላ የፊት ማሽን ኦፕሬተር,U,,
Site Acquisition Manager,የጣቢያ ማግኛ አስተዳዳሪ,P,,
Site Acquisition Reporter,የጣቢያ ማግኛ ሪፖርተር,P,,
Site Administrator,የጣቢያ አስተዳዳሪ,P,,
Site Hydro Geologist,ጣቢያ ሃይድሮ ጂኦሎጂስት,P,,
Site inspector Engineer/ Assistant Resident Engineer,የጣቢያ መርማሪ መሐንዲስ/ረዳት ነዋሪ መሐንዲስ,P,,
Site monitor,የጣቢያ ማሳያ,P,,
Site Nurse Mentor (St Paul's Hospital),የጣቢያ ነርስ አማካሪ (የቅዱስ ጳውሎስ ሆስፒታል),P,,
Site Passive Engineer (Operations and Maintenance),የጣቢያ ተገብሮ መሐንዲስ (ኦፕሬሽን እና ጥገና),P,,
Site personal,ጣቢያ ግላዊ,P,,
Site Procurement Officer,የጣቢያ ግዥ ኦፊሰር,P,,
Site Project Manager,የጣቢያ ፕሮጀክት አስተዳዳሪ,P,,
Site Renovation Engineer,የጣቢያ እድሳት መሐንዲስ,P,,
Site Representative,የጣቢያ ተወካይ,P,,
Site Security Guard Manager,የጣቢያ ደህንነት ጠባቂ አስተዳዳሪ,P,,
Site Store Head,የጣቢያ መደብር ኃላፊ,P,,
Site supervisor,የጣቢያ ተቆጣጣሪ,P,,
Site Surveyor,የጣቢያ ዳሳሽ,P,,
Site Technical Coordinator,የጣቢያ ቴክኒካል አስተባባሪ,P,,
Site Time Keeper,የጣቢያ ጊዜ ጠባቂ,P,,
Skateboarder,የስኬትቦርደር,U,,
Sketch artist,ንድፍ አውጪ አርቲስት,P,,
Skill Development Officer,የክህሎት ልማት ኦፊሰር,P,,
Skilled Tailor,ችሎታ ያለው ልብስ ስፌት,P,,
Skin Care & Makeup Artist,የቆዳ እንክብካቤ እና ሜካፕ አርቲስት,P,,
Skin care products Marketer and Sales,የቆዳ እንክብካቤ ምርቶች ገበያተኛ እና ሽያጭ,P,,
SM Manager and Canva Designer,SM አስተዳዳሪ እና የካንቫ ዲዛይነር,P,,
Small Loan Services Officer,አነስተኛ የብድር አገልግሎት ኦፊሰር,P,,
Smart Contract & Frontend Developer,ብልጥ ውል እና የፊት ገንቢ,P,,
Smart Contract Auditor,ስማርት ኮንትራት ኦዲተር,P,,
Smart contract Developer,ስማርት የኮንትራት ገንቢ,P,,
Smart Marketer,ስማርት ገበያተኛ,P,,
Smart Phone Repair Technician,የስማርት ስልክ ጥገና ቴክኒሻን,P,,
SME Bio-Medical Engineering Expert (m/f/d),SME የባዮ-ሜዲካል ምህንድስና ባለሙያ (ሜ/ፈ/መ),P,,
SME Customer Relationship Manager,SME የደንበኛ ግንኙነት አስተዳዳሪ,P,,
SME Digital Marketing and Customer Acquisition Consultant (m/f),SME ዲጂታል ግብይት እና የደንበኛ ማግኛ አማካሪ (ሜ/ረ),P,,
"SME Food Processing, Hygiene and Safety Expert (m/f)",SME የምግብ ማቀነባበሪያ፣ ንፅህና እና ደህንነት ባለሙያ (ሜ/ረ),P,,
Smoothie maker,ለስላሳ ሰሪ,U,,
SMS API,የኤስኤምኤስ ኤፒአይ,U,,
SMS Gateway Developers,የኤስኤምኤስ ጌትዌይ ገንቢዎች,P,,
Sms service developer with kannel,የኤስኤምኤስ አገልግሎት ገንቢ ከካንል ጋር,U,,
Sms service provider,የኤስኤምኤስ አገልግሎት አቅራቢ,U,,
Snr Asphalt Plant Manager,Snr አስፋልት ተክል አስተዳዳሪ,P,,
Snr Asset and Resource Manager,Snr ንብረት እና ሀብት አስተዳዳሪ,P,,
Snr Concrete Plant Manager,Snr ኮንክሪት ተክል አስተዳዳሪ,P,,
Snr Strategic SEO and PPC Manager,Snr ስትራቴጂክ SEO እና PPC አስተዳዳሪ,P,,
Snr Supply Chain Manager,Snr አቅርቦት ሰንሰለት አስተዳዳሪ,P,,
Snr Warehouse Manager,Snr መጋዘን አስተዳዳሪ,P,,
SOAP API developer,የሶፕ ኤፒአይ ገንቢ,P,,
Soap Engineer,የሳሙና መሐንዲስ,U,,
Soap factory production manager,የሳሙና ፋብሪካ ማምረቻ ሥራ አስኪያጅ,P,,
SOC Analyst,SOC ተንታኝ,P,,
Social Accountability Advisor(Internal and External),ማህበራዊ ተጠያቂነት አማካሪ (ውስጣዊ እና ውጫዊ),P,,
Social Accountability Monitoring and Evaluation Officer,የማህበራዊ ተጠያቂነት ክትትል እና ግምገማ ኦፊሰር,P,,
Social Accountability Officer,የማህበራዊ ተጠያቂነት ኦፊሰር,P,,
Social Accountability Project Accountant,ማህበራዊ ተጠያቂነት ፕሮጀክት አካውንታንት,P,,
Social Accountability Quality Assurance Officer,የማህበራዊ ተጠያቂነት ጥራት ማረጋገጫ ኦፊሰር,P,,
Social and Environmental Safeguards Officer,የማህበራዊ እና የአካባቢ ጥበቃ መኮንን,P,,
Social Behavior Communication Change Officer - Nutrition,የማህበራዊ ባህሪ ግንኙነት ለውጥ ኦፊሰር - አመጋገብ,P,,
Social Business & Service Director,ማህበራዊ ንግድ እና አገልግሎት ዳይሬክተር,P,,
SOCIAL COHESION AND CONFLICT SENSITIVITY SPECIALIST: HIGHLANDS RESILIENCE ACTIVITY,የማህበራዊ ትስስር እና የግጭት ስሜታዊነት ልዩ ባለሙያ፡ ሃይላንድስ የመቋቋም እንቅስቃሴ,P,,
Social Cohesion and Protection Project Coordinator,የማህበራዊ ትስስር እና ጥበቃ ፕሮጀክት አስተባባሪ,P,,
Social Compliance Executive,የማህበራዊ ተገዢነት አስፈፃሚ,P,,
Social Development Specialist,የማህበራዊ ልማት ባለሙያ,P,,
Social Franchising Officer(SFO-CB),የማህበራዊ ፍራንሲንግ ኦፊሰር (SFO-CB),P,,
Social Inclusion and Gender Officer,ማህበራዊ ማካተት እና የስርዓተ-ፆታ ኦፊሰር,P,,
Social Inclusion Expert,የማህበራዊ ማካተት ባለሙያ,P,,
Social Media & Podcast Editor,ማህበራዊ ሚዲያ እና ፖድካስት አርታዒ,P,,
social media ad booster,የማህበራዊ ሚዲያ ማስታወቂያ ማበረታቻ,P,,
Social Media Analyst,የማህበራዊ ሚዲያ ተንታኝ,P,,
Social media and assistant manager,ማህበራዊ ሚዲያ እና ረዳት አስተዳዳሪ,P,,
Social media and content manager,ማህበራዊ ሚዲያ እና የይዘት አስተዳዳሪ,P,,
Social Media and Content Specialist,የማህበራዊ ሚዲያ እና የይዘት ባለሙያ,P,,
Social Media and IT Support Officer,የማህበራዊ ሚዲያ እና የአይቲ ድጋፍ ኦፊሰር,P,,
Social Media and YouTube Channel Manager,ማህበራዊ ሚዲያ እና የዩቲዩብ ቻናል አስተዳዳሪ,P,,
Social Media Associate,የማህበራዊ ሚዲያ ተባባሪ,U,,
Social media care,የማህበራዊ ሚዲያ እንክብካቤ,U,,
Social media Enthusiast,የማህበራዊ ሚዲያ አድናቂ,P,,
Social Media Evaluation,የማህበራዊ ሚዲያ ግምገማ,P,,
Social Media Executive,የማህበራዊ ሚዲያ ሥራ አስፈፃሚ,P,,
Social media graphic designer,የማህበራዊ ሚዲያ ግራፊክ ዲዛይነር,P,,
Social media host,የማህበራዊ ሚዲያ አስተናጋጅ,P,,
Social Media Magician,ማህበራዊ ሚዲያ አስማተኛ,U,,
Social Media Manager & Junior Creative Editor,የማህበራዊ ሚዲያ አስተዳዳሪ እና ጁኒየር ፈጠራ አርታዒ,P,,
Social media manager & web designer,የማህበራዊ ሚዲያ አስተዳዳሪ እና የድር ዲዛይነር,P,,
SOCIAL MEDIA MANAGER AND ADMIN ASSISTANT,የማህበራዊ ሚዲያ ስራ አስኪያጅ እና አስተዳዳሪ ረዳት,P,,
Social media manager and Cast manager,የማህበራዊ ሚዲያ አስተዳዳሪ እና ውሰድ አስተዳዳሪ,P,,
Social media manager and content strategist,የማህበራዊ ሚዲያ አስተዳዳሪ እና የይዘት ስትራቴጂስት,P,,
Social Media Manager and Digital marketer and Graphics design,የማህበራዊ ሚዲያ አስተዳዳሪ እና ዲጂታል ገበያተኛ እና ግራፊክስ ዲዛይን,P,,
Social Media manager and makup artist,የማህበራዊ ሚዲያ አስተዳዳሪ እና ማፕ አርቲስት,P,,
Social Media Market Seller,የማህበራዊ ሚዲያ ገበያ ሻጭ,P,,
social Media Marketer,ማህበራዊ ሚዲያ ገበያተኛ,P,,
Social media marketer & content writer,የማህበራዊ ሚዲያ አሻሻጭ እና የይዘት ጸሐፊ,P,,
Social media marketer and digital advertisements,የማህበራዊ ሚዲያ አሻሻጭ እና ዲጂታል ማስታወቂያዎች,P,,
Social Media Representative,የማህበራዊ ሚዲያ ተወካይ,U,,
Social Media Specialist,የማህበራዊ ሚዲያ ስፔሻሊስት,U,,
Social Media Support Assistant,የማህበራዊ ሚዲያ ድጋፍ ረዳት,P,,
Social Mobilization Officer,የማህበራዊ ንቅናቄ ኦፊሰር,P,,
Social Network Analysts (Local Researchers for Social Network Analysis),የማህበራዊ አውታረ መረብ ተንታኞች (አካባቢያዊ ተመራማሪዎች ለማህበራዊ አውታረ መረብ ትንተና),P,,
Social Science Department Head,የማህበራዊ ሳይንስ ክፍል ኃላፊ,P,,
Social Service Workers,የማህበራዊ አገልግሎት ሰራተኞች,P,,
SOCIAL WORKER and PSYCHOLOGIST,ማህበራዊ ሰራተኛ እና ሳይኮሎጂስት,P,,
Social Worker Coordinator,ማህበራዊ ሰራተኛ አስተባባሪ,P,,
Social worker/ Case Manager,ማህበራዊ ሰራተኛ / ጉዳይ አስተዳዳሪ,P,,
"Social, MArketing content and Website Manager",ማህበራዊ፣ የግብይት ይዘት እና የድር ጣቢያ አስተዳዳሪ,P,,
Socials manager and Associate Producer,የሶሻልስ ስራ አስኪያጅ እና ተባባሪ አዘጋጅ,P,,
Sociologist,የሶሺዮሎጂስት,P,,
Softcopy book finder,የሶፍት ኮፒ መጽሐፍ ፈላጊ,U,,
Software & programming specialists,የሶፍትዌር እና የፕሮግራም ባለሙያዎች,P,,
Software and AI developer,ሶፍትዌር እና AI ገንቢ,P,,
software Architect,ሶፍትዌር አርክቴክት,P,,
software beta testers,የሶፍትዌር ቤታ ሞካሪዎች,P,,
Software Business Analyst (BA),የሶፍትዌር ቢዝነስ ተንታኝ (ቢኤ),P,,
Software Consultant,የሶፍትዌር አማካሪ,P,,
Software design and Development,የሶፍትዌር ዲዛይን እና ልማት,P,,
Software Development Section Head,የሶፍትዌር ልማት ክፍል ኃላፊ,P,,
Software development system analyst,የሶፍትዌር ልማት ስርዓት ተንታኝ,P,,
Software Development Virtual Internship,የሶፍትዌር ልማት ምናባዊ ልምምድ,P,,
software dev't project manager & business analyst,የሶፍትዌር ዴቪት ፕሮጀክት አስተዳዳሪ እና የንግድ ተንታኝ,P,,
Software Documentation,የሶፍትዌር ሰነድ,P,,
Software Documentation & Requirment Writing,የሶፍትዌር ሰነድ እና አስፈላጊ ጽሑፍ,P,,
Software engineer and project Manager,የሶፍትዌር መሐንዲስ እና የፕሮጀክት ሥራ አስኪያጅ,P,,
software integration with short code sms using ethio telecom's SDP API,የኢትዮ ቴሌኮም ኤስዲፒ ኤፒአይን በመጠቀም የሶፍትዌር ውህደት ከአጭር ኮድ sms ጋር,U,,
Software QA engineer and IT support Intern,የሶፍትዌር QA መሐንዲስ እና የአይቲ ድጋፍ Intern,U,,
Software Quality Assurance,የሶፍትዌር ጥራት ማረጋገጫ,P,,
Software quality assurance and IT support,ሶፍትዌር ጥራት ማረጋገጫ እና የአይቲ ድጋፍ,P,,
Software Quality Assurance and Requirement Engineer,የሶፍትዌር ጥራት ማረጋገጫ እና ተፈላጊ መሐንዲስ,P,,
Software quality assurance expert & Implementation expert,የሶፍትዌር ጥራት ማረጋገጫ ባለሙያ እና የትግበራ ባለሙያ,P,,
Software Solution Architect,የሶፍትዌር መፍትሔ አርክቴክት,P,,
Software Solutions Engineer,የሶፍትዌር መፍትሄዎች መሐንዲስ,P,,
Software Support Officer,የሶፍትዌር ድጋፍ ኦፊሰር,P,,
Software system designer/project Manager,የሶፍትዌር ስርዓት ዲዛይነር / የፕሮጀክት ሥራ አስኪያጅ,P,,
Software team leader,የሶፍትዌር ቡድን መሪ,P,,
Software Technician,የሶፍትዌር ቴክኒሻን,P,,
Software Technology Researcher,የሶፍትዌር ቴክኖሎጂ ተመራማሪ,P,,
Soil Expert I,የአፈር ሊቅ I,P,,
Soil Expert III,የአፈር ሊቅ III,P,,
Soil Lab Technician,የአፈር ላብራቶሪ ቴክኒሻን,P,,
Soil Testing Engineer,የአፈር ምርመራ መሐንዲስ,P,,
Solar Technician,የፀሐይ ቴክኒሻን,P,,
Solar/ Electrical Engineer,የፀሐይ / የኤሌክትሪክ መሐንዲስ,P,,
Solicitation for External Audit Service,የውጪ ኦዲት አገልግሎት ጥያቄ,P,,
Soliciting Service Providers for Market Enhancement of HTCC through Result Based Financing (RBF) Mechanism,በውጤት ላይ የተመሰረተ ፋይናንሺንግ (RBF) ሜካኒዝምን በመጠቀም የ HTCC ገበያን ለማሻሻል አገልግሎት አቅራቢዎችን መጠየቅ,P,,
Solid IQPA and Liquid IQPA (In-process Quality Assurance),ጠንካራ IQPA እና ፈሳሽ IQPA (በሂደት ላይ ያለ የጥራት ማረጋገጫ),U,,
Solid work designing,ጠንካራ የስራ ንድፍ,U,,
Solidity/web3/react developer,Solidity/web3/react ገንቢ,U,,
Solidwork and Catia software Tutor,Solidwork እና Catia ሶፍትዌር አስተማሪ,U,,
Solidwork design,ጠንካራ ስራ ንድፍ,U,,
Soloist (vocalist + guitarist),ሶሎስት (ድምፃዊ + ጊታሪስት),P,,
Song and lyrics writer,ግጥም እና ግጥም ደራሲ,U,,
Song writer & female Rapper,የዘፈን ደራሲ እና ሴት ራፐር,U,,
Soreti MPesa Sales,Soreti MPesa ሽያጭ,U,,
Sound and light man,ቀላል እና ድምጽ ያለው ሰው,P,,
Sound Effects/Foley and Sound Editing for Commercial,የድምፅ ውጤቶች/ፎሌይ እና የድምጽ ማስተካከያ ለንግድ,P,,
Sound Engineer,የድምፅ መሐንዲስ,P,,
Sound manager,የድምጽ አስተዳዳሪ,P,,
Sound system builder,የድምፅ ስርዓት ገንቢ,P,,
Soundtrack creator,የድምፅ ትራክ ፈጣሪ,P,,
Sourcing & Logistic Department Manager,ምንጭ እና ሎጂስቲክስ መምሪያ ሥራ አስኪያጅ,P,,
Sourcing and Tender Officer,ምንጭ እና ጨረታ ኦፊሰር,P,,
South African Zulu text reading,የደቡብ አፍሪካ ዙሉ የጽሑፍ ንባብ,U,,
South Ethiopia Regional Multi-Sector Nutrition Advisor,የደቡብ ኢትዮጵያ ክልል ዘርፈ ብዙ የአመጋገብ አማካሪ,P,,
"SOUTH GONDER ZONE ZONAL PROGRAM COORDINATOR – HIGHLAND RESILIENCE ACTIVITY: AMHARA REGION, ETHIOPIA",ደቡብ ጎንደር ዞን ዞን የፕሮግራም አስተባባሪ - ከፍተኛ የመቋቋም እንቅስቃሴ፡ አማራ ክልል፣ ኢትዮጵያ,P,,
"SOUTH TIGRAY ZONE ZONAL PROGRAM COORDINATOR – HIGHLAND RESILIENCE ACTIVITY: TIGRAY REGION, ETHIOPA",የደቡብ ትግራይ ዞን ዞን የፕሮግራም አስተባባሪ - ከፍተኛ የመቋቋም እንቅስቃሴ፡ ትግራይ ክልል፣ ኢትዮጵያ,P,,
"SOUTHEASTERN TIGRAY ZONE ZONAL PROGRAM COORDINATOR – HIGHLAND RESILIENCE ACTIVITY: TIGRAY REGION, ETHIOPA",ደቡብ ምስራቅ ትግራይ ዞን ዞን የፕሮግራም አስተባባሪ - ከፍተኛ የመቋቋም እንቅስቃሴ፡ ትግራይ ክልል፣ ኢትዮጵያ,P,,
Southern Program Coordinator - Highland Resilience Activity,የደቡብ ፕሮግራም አስተባባሪ - ሃይላንድ የመቋቋም እንቅስቃሴ,P,,
SOW: Developing Strategic Plan For Integrated Poultry Multiplication Center,SOW፡ ለተቀናጀ የዶሮ እርባታ ማባዛት ማዕከል ስትራቴጅካዊ እቅድ ማዘጋጀት,P,,
Soya Oil Press Machine Operator,የሶያ ዘይት ማተሚያ ማሽን ኦፕሬተር,P,,
Spa & Gym attendant,ስፓ እና ጂም ረዳት,P,,
Spa & Wellness Manager,ስፓ እና ጤና አስተዳዳሪ,P,,
Spanish Amharic Translator,ስፓኒሽ አማርኛ ተርጓሚ,P,,
Spanish teacher,ስፓኒሽ መምህር,P,,
Spare Part Manager,መለዋወጫ አስተዳዳሪ,P,,
Spare Part Officer,መለዋወጫ ኦፊሰር,P,,
Spare Part Procurement Officer,መለዋወጫ ግዥ ኦፊሰር,P,,
Spare Part Store Keeper,መለዋወጫ መደብር ጠባቂ,P,,
Spare Parts and accessories Procurement & Supply Department Manager,መለዋወጫ እና መለዋወጫዎች ግዥ እና አቅርቦት መምሪያ ሥራ አስኪያጅ,P,,
Spare Parts and Product Warehouse Worker,መለዋወጫ እና የምርት መጋዘን ሰራተኛ,P,,
"SPC Floor, WPC Wall Panel , Uv Board Professional",SPC ወለል፣ WPC ግድግዳ ፓነል፣ Uv ቦርድ ባለሙያ,U,,
special Education Assistant teachers,ልዩ ትምህርት ረዳት አስተማሪዎች,P,,
Special Education Needs (SEN) Teacher,የልዩ ትምህርት ፍላጎቶች (SEN) መምህር,P,,
Special Finance Advisor,ልዩ የፋይናንስ አማካሪ,P,,
Special need director (irregular student director),የልዩ ፍላጎት ዳይሬክተር (መደበኛ ያልሆነ የተማሪ ዳይሬክተር),P,,
Special Need officer,ልዩ ፍላጎት መኮንን,P,,
Special needs & Inclusive Education and Guidance & Counseling Professionals,ልዩ ፍላጎቶች እና አካታች ትምህርት እና መመሪያ እና የምክር ባለሙያዎች,P,,
Special Needs & Inclusive Education Professional,ልዩ ፍላጎቶች እና አካታች ትምህርት ባለሙያ,P,,
Special Needs & Inclusive Education Program Officer,የልዩ ፍላጎቶች እና አካታች የትምህርት ፕሮግራም ኦፊሰር,P,,
Special Needs & Inclusive Officer,ልዩ ፍላጎቶች እና አካታች መኮንን,P,,
"Special Needs Education, Pedagogy Teachers",የልዩ ፍላጎት ትምህርት፣ ፔዳጎጂ መምህራን,P,,
Special needs professional(የልዬ ፍላጎት ባለሙያ),የልዩ ፍላጎት ባለሙያ(የልዬ ባለሙያ ፍላጎት),P,,
Special Needs Specialist /Nurse,ልዩ ፍላጎቶች ስፔሻሊስት / ነርስ,P,,
Specialist Corporate Communications,ስፔሻሊስት የኮርፖሬት ኮሙኒኬሽን,P,,
Specialist IT Security,ስፔሻሊስት የአይቲ ደህንነት,P,,
Specialist on Context Analysis and Peace and Conflict Analysis,ስለ አውድ ትንተና እና የሰላም እና የግጭት ትንተና ልዩ ባለሙያ,P,,
"Specialist, Contact Center Planning and Delivery",ስፔሻሊስት፣ የእውቂያ ማዕከል እቅድ እና አቅርቦት,P,,
"Specialist, IT Audit","ስፔሻሊስት, የአይቲ ኦዲት",P,,
Specialist: Core Access Network Engineering,ስፔሻሊስት፡ ኮር መዳረሻ ኔትወርክ ምህንድስና,P,,
Specialist: Geo Spatial,ስፔሻሊስት: ጂኦ ስፓሻል,P,,
Specialist: Radio Network Engineering,ስፔሻሊስት: የሬዲዮ አውታረመረብ ምህንድስና,P,,
Specialized Digital Designer,ልዩ ዲጂታል ዲዛይነር,P,,
Specialty Coffee Desk Team Leader,የልዩ ቡና ዴስክ ቡድን መሪ,P,,
Speech therapist,የንግግር ቴራፒስት,P,,
Speech writer,የንግግር ጸሐፊ,P,,
Speed Limiter and GPS Installer,የፍጥነት ገደብ እና የጂፒኤስ መጫኛ,P,,
Speed Limiter and GPS Technician,የፍጥነት ገደብ እና የጂፒኤስ ቴክኒሽያን,P,,
Spinning & Ginning Section Maintenance Head,መፍተል እና Ginning ክፍል ጥገና ኃላፊ,P,,
Spinning Shift Leader,የሚሽከረከር ፈረቃ መሪ,P,,
Spinning Unit Maintenance Head,የሚሽከረከር ዩኒት ጥገና ኃላፊ,P,,
SPIR II Community Facilitator,SPIR II የማህበረሰብ አመቻች,P,,
SPIR II Finance Officer,SPIR II የፋይናንስ ኦፊሰር,P,,
SPIR II Food Assistance Compliance Coordinator,የSPIR II የምግብ እርዳታ ተገዢነት አስተባባሪ,P,,
SPIR II Food Assistance Information Reporting Specialist,የSPIR II የምግብ እርዳታ መረጃ ሪፖርት አድራጊ ባለሙያ,P,,
SPIR II Food Assistance Monitoring Officer,የ SPIR II የምግብ እርዳታ ክትትል ኦፊሰር,P,,
SPIR II Gender & Youth Coordinator,የ SPIR II ፆታ እና ወጣቶች አስተባባሪ,P,,
SPIR II Lead Community Facilitator,SPIR II መሪ ማህበረሰብ አመቻች,P,,
SPIR II Lead Community Health Facilitator,SPIR II የማህበረሰብ ጤና አመቻች,P,,
SPIR II MEL Coordinator,SPIR II MEL አስተባባሪ,P,,
SPIR II Mobile Community Health Facilitator,SPIR II የሞባይል ማህበረሰብ ጤና አመቻች,P,,
SPIRII Grants Communications Specialist,SPIRII የእርዳታ ኮሙኒኬሽን ስፔሻሊስት,P,,
SPO I - Cooperative Based Seed Production (CBSP),SPO I - በትብብር ላይ የተመሰረተ ዘር ማምረት (ሲቢኤስፒ),P,,
Spoken English / Foreigners & Local Teacher,የሚነገር እንግሊዝኛ / የውጭ ዜጎች እና የሀገር ውስጥ መምህር,P,,
Spokesperson,ቃል አቀባይ,P,,
Sponser finder,ስፖንሰር አግኚ,P,,
Sponsor Relations Officer (SRO),የስፖንሰር ግንኙነት ኦፊሰር (SRO),P,,
Sponsorship & Program Specialist,ስፖንሰርሺፕ እና የፕሮግራም ባለሙያ,P,,
Sponsorship and Outreach Manager,የስፖንሰርሺፕ እና የማዳረስ ስራ አስኪያጅ,P,,
Sponsorship broker,የስፖንሰርሺፕ ደላላ,P,,
Sponsorship Coordinator,የስፖንሰርሺፕ አስተባባሪ,P,,
Sport Consultant,የስፖርት አማካሪ,P,,
Sport Content Creator,የስፖርት ይዘት ፈጣሪ,P,,
Sport Content Writer,የስፖርት ይዘት ጸሐፊ,P,,
Sport Critics,የስፖርት ተቺዎች,P,,
Sport Forecast Analyst,የስፖርት ትንበያ ተንታኝ,P,,
Sport gear shop salesperson,የስፖርት ማርሽ ሱቅ ሻጭ,P,,
Sport journalist,የስፖርት ጋዜጠኛ,P,,
Sport Management personnel,የስፖርት አስተዳደር ሠራተኞች,P,,
Sport News Anchor,ስፖርት ዜና መልህቅ,P,,
Sport News writer,የስፖርት ዜና ጸሐፊ,P,,
Sport Profile Photographer,የስፖርት መገለጫ ፎቶ አንሺ,P,,
Spray Supervisor,ስፕሬይ ተቆጣጣሪ,U,,
