informal work in eng,Profession  in Amharic,Professional / Informal,sector,sub sector,Profession in Amharic,professional/ formal
Senior Sales Agronomist,,,agriculture,Agriculture,ከፍተኛ የሽያጭ አግሮኖሚስት,P
Senior Sales Consultant,,,Business,Wholesale business in specialized stores,ከፍተኛ የሽያጭ አማካሪ,P
Senior Sales Data Analyst (SSDA),,,Business,Wholesale business in specialized stores,ከፍተኛ የሽያጭ ውሂብ ተንታኝ,P
Senior Sales Supervisor,,,Business,Retail trade in specialized stores,ከፍተኛ የሽያጭ ተቆጣጣሪ,P
Senior Salvage and Recovery Handling Officer,,,Service,Other services,ከፍተኛ የማዳን እና የማገገሚያ አያያዝ ኦፊሰር,P
Senior Sanitary Designer,,,Construction,Sanitary Contractor and Expert,ከፍተኛ የንፅህና ዲዛይነር,P
Senior sanitary engineer,,,Construction,Sanitary Contractor and Expert,ከፍተኛ የንፅህና መሐንዲስ,P
Senior Sanitation and Hygiene Promotion Officer,,,Service,Sewage and waste disposal; Health care and similar jobs,ከፍተኛ የአካባቢ ጽዳትና የግል ንፅህና ማስተዋወቂያ ኦፊሰር,P
Senior Saving & Credit Officer,,,Service,Finance and Administration Services,ከፍተኛ ቁጠባ እና ብድር ኦፊሰር,P
Senior SBC Capacity Strengthening Advisor,,,Service,Social work services,ከፍተኛ የኤስቢሲ አቅም ማጠናከሪያ አማካሪ,P
Senior SBCC and Gender Advisor,,,Service,Social work services,ከፍተኛ የ SBCC እና የሥርዓተ-ፆታ አማካሪ,P
Senior scrub nurse,,,Health,Health,ከፍተኛ የቆሻሻ ነርስ,P
SENIOR SCRUM MASTER,,,ICT and digital work,Software Design Development and Implementation Works,ሲኒየር SCRUM መምህር,U
Senior secretary,,,Service,Other services,ከፍተኛ ጸሃፊ,P
Senior Sector Specific Technical Assistant /Communication/,,,Service,Information and Communication Technology Consulting Service,ከፍተኛ ዘርፍ ልዩ ቴክኒካል ረዳት /መገናኛ/,P
Senior Sector Specific Technical Assistant /Finance/,,,Service,Finance and Administration Services,ከፍተኛ ዘርፍ ልዩ ቴክኒካል ረዳት /ፋይናንስ/,P
Senior Security and Access Coordinator,,,Service,Security Service,ከፍተኛ የደህንነት እና ተደራሽነት አስተባባሪ,P
Senior security Expert,,,Service,Security Service,ከፍተኛ የደህንነት ባለሙያ,P
Senior Security Manager,,,Service,Security Service,ከፍተኛ የደህንነት አስተዳዳሪ,P
Senior Security Registration & Reporting Officer,,,Service,Security Service,ከፍተኛ የደህንነት ምዝገባ እና ሪፖርት ኦፊሰር,P
Senior Senior Procurement Analyst,,,Service,Logistics Supply and Support Services (outside of other business sectors),ሲኒየር የግዥ ተንታኝ,P
Senior SEO Consultant,,,ICT and digital work,Software Design Development and Implementation Works,ሲኒየር SEO አማካሪ,P
Senior SEO Content Writer,,,ICT and digital work,Software Design Development and Implementation Works,ሲኒየር SEO ይዘት ጸሐፊ,P
Senior Share Administration Officer,,,Service,Finance and Administration Services,ከፍተኛ የአክሲዮን አስተዳደር ኦፊሰር,P
Senior Share Operation Officer,,,Service,Finance and Administration Services,ሲኒየር ድርሻ ኦፕሬሽን ኦፊሰር,P
Senior Sharepoint Developer/Consultant,,,ICT and digital work,Software Design Development and Implementation Works,ሲኒየር የተጋራ ነጥብ ገንቢ/አማካሪ,P
Senior Sharia Compliance Officer,,,Service,Finance and Administration Services,ከፍተኛ የሸሪአ ተገዢነት ኦፊሰር,P
Senior Shift Quality Assurance/Control Technician,,,Service,Quality Management Consulting Service,ሲኒየር ፈረቃ ጥራት ማረጋገጫ/ቁጥጥር ቴክኒሽያን,P
Senior Shift Supervisor,,,Manufacturing,Another unmentioned factory works,ሲኒየር ፈረቃ ተቆጣጣሪ,P
Senior Shift Technician,,,Manufacturing,Another unmentioned factory works,ሲኒየር ፈረቃ ቴክኒሽያን,P
Senior Social and Behavior Change Communication (SBCC) Officer,,,Service,Social work services,ከፍተኛ የማህበራዊ እና የባህርይ ለውጥ ኮሙኒኬሽን (SBCC) መኮንን,P
Senior Social Media Expert,,,ICT and digital work,Software Design Development and Implementation Works,ከፍተኛ የማህበራዊ ሚዲያ ባለሙያ,P
Senior social media manager,,,ICT and digital work,Software Design Development and Implementation Works,ከፍተኛ የማህበራዊ ሚዲያ አስተዳዳሪ,P
Senior social relation officer,,,Service,Social work services,ከፍተኛ የማህበራዊ ግንኙነት ኃላፊ,P
Senior Social Safeguard Specialist,,,Service,Social work services,ከፍተኛ የማህበራዊ ጥበቃ ስፔሻሊስት,P
Senior Social worker,,,Service,Social work services,ከፍተኛ ማህበራዊ ሰራተኛ,P
Senior Socio Economist,,,Service,Consulting service around social science,ከፍተኛ የሶሺዮ ኢኮኖሚስት,P
Senior Software Architect,,,ICT and digital work,Software Design Development and Implementation Works,ሲኒየር ሶፍትዌር አርክቴክት,P
Senior Software Quality Assurance and Requirement Engineer,,,ICT and digital work,Software Design Development and Implementation Works,ከፍተኛ የሶፍትዌር ጥራት ማረጋገጫ እና ተፈላጊ መሐንዲስ,P
Senior Soil & Water Conservation Specialist,,,Construction,Soil research work,ከፍተኛ የአፈር እና የውሃ ጥበቃ ባለሙያ,P
Senior Spare Part Controller,,,Business,Components of motor vehicles and Accessories Wholesale (Vehicle Wholesale),ሲኒየር መለዋወጫ መቆጣጠሪያ,P
Senior Spare Part Warehouse store Keeper,,,Business,Components of motor vehicles and Accessories Wholesale (Vehicle Wholesale),ሲኒየር መለዋወጫ መጋዘን መደብር ጠባቂ,P
Senior Special Advisor for Legal Services,,,Service,Other services,የሕግ አገልግሎት ከፍተኛ ልዩ አማካሪ,P
Senior Special Advisor for Quality Assurance,,,Service,Quality Management Consulting Service,ለጥራት ማረጋገጫ ከፍተኛ ልዩ አማካሪ,P
Senior Special Advisor for Utility Engineering,,,Economic Infrastructure,Electro technology,ለፍጆታ ምህንድስና ከፍተኛ ልዩ አማካሪ,P
"Senior Special Advisor, GMP and Regulatory Affair",,,Service,Quality Management Consulting Service,ከፍተኛ ልዩ አማካሪ፣ GMP እና የቁጥጥር ጉዳይ,P
Senior Special Advisors (Experts),,,Service,Consulting service around social science,ከፍተኛ ልዩ አማካሪዎች (ኤክስፐርቶች),P
Senior Specialist App. Development & Data Warehouse,,,ICT and digital work,Software Design Development and Implementation Works,ከፍተኛ ስፔሻሊስት መተግበሪያ. ልማት እና የውሂብ ማከማቻ,P
"Senior Specialist, IT Audit",,,Service,Accounting audit and adminstrative works,"ከፍተኛ ስፔሻሊስት, የአይቲ ኦዲት",P
"Senior Specialist, Learning, Monitoring and Evaluation (LME)",,,Service,Research and experimental development work on cultural and social life,ከፍተኛ ስፔሻሊስት፣ ትምህርት፣ ክትትል እና ግምገማ (ኤልኤምኢ),P
"Senior Specialist, Project Management",,,Service,Management System Certification,"ከፍተኛ ስፔሻሊስት, የፕሮጀክት አስተዳደር",P
Senior SRH Officer,,,Health,Health,ከፍተኛ የ SRH መኮንን,P
Senior stakeholder management expert,,,Service,Business Promotion Service,ከፍተኛ ባለድርሻ አካላት አስተዳደር ባለሙያ,P
Senior statistician,,,Service,Consulting service around social science,ከፍተኛ የስታቲስቲክስ ባለሙያ,P
"SENIOR STATISTICS ASSISTANT, G7",,,Service,Consulting service around social science,ሲኒየር ስታቲስቲክስ ረዳት፣ G7,P
Senior Stock Accountant/Inventory Controller,,,Service,Accounting audit and adminstrative works,ሲኒየር የአክሲዮን አካውንታንት/ኢንቬንቶሪ ተቆጣጣሪ,P
Senior Strategic Partnership and Relationship Officer,,,Service,Business Promotion Service,ከፍተኛ የስትራቴጂክ አጋርነት እና ግንኙነት ኦፊሰር,P
Senior Strategic Planner,,,Service,Business Promotion Service,ሲኒየር ስልታዊ እቅድ አውጪ,P
Senior Strategy & Change Management Officer,,,Service,Business Promotion Service,ሲኒየር ስትራቴጂ እና ለውጥ አስተዳደር ኦፊሰር,P
Senior Strategy & Performance Monitoring Officer,,,Service,Business Promotion Service,ሲኒየር ስትራተጂ እና የአፈጻጸም ክትትል ኦፊሰር,P
Senior Strategy and Change Management II,,,Service,Business Promotion Service,ሲኒየር ስትራቴጂ እና ለውጥ አስተዳደር II,P
Senior Strategy Implementation and Follow-up Officer,,,Service,Business Promotion Service,ከፍተኛ የስትራቴጂ ትግበራ እና ክትትል ኦፊሰር,P
Senior Strategy Officer,,,Service,Business Promotion Service,ከፍተኛ የስትራቴጂ ኦፊሰር,P
Senior Strategy Planning and Budgeting Expert,,,Service,Finance and Administration Services,ከፍተኛ የስትራቴጂ እቅድ እና የበጀት ባለሙያ,P
SENIOR SUB AWARD SPECIALIST,,,Service,Finance and Administration Services,ሲኒየር ሱብ ሽልማት ስፔሻሊስት,P
Senior Sub grant Officer,,,Service,Finance and Administration Services,ሲኒየር ንዑስ ግራንት ኦፊሰር,P
Senior Subgrant and Finance Officer,,,Service,Finance and Administration Services,ከፍተኛ ንዑስ እና የፋይናንስ ኦፊሰር,P
Senior Succession & Career Management Officer,,,Service,Employment agencies and recruitment agencies,ሲኒየር ተተኪ እና የሙያ አስተዳደር ኦፊሰር,P
Senior Supply Chain Advisor,,,Service,Logistics Supply and Support Services (outside of other business sectors),ከፍተኛ የአቅርቦት ሰንሰለት አማካሪ,P
Senior Supply Chain Expert,,,Service,Logistics Supply and Support Services (outside of other business sectors),ከፍተኛ የአቅርቦት ሰንሰለት ባለሙያ,P
Senior Supply Chain Officer,,,Service,Logistics Supply and Support Services (outside of other business sectors),ከፍተኛ የአቅርቦት ሰንሰለት ኦፊሰር,P
Senior Support Officer,,,Service,Other services,ከፍተኛ ድጋፍ ሰጪ,P
Senior Survey Engineer,,,Economic Infrastructure,Surveying & Drafting,ሲኒየር የዳሰሳ መሐንዲስ,P
Senior Swift Officer,,,ICT and digital work,Software Design Development and Implementation Works,ሲኒየር ስዊፍት ኦፊሰር,P
Senior System Administrator,,,ICT and digital work,Computer network design deployment and implementation tasks,ከፍተኛ የስርዓት አስተዳዳሪ,P
Senior System Analyst,,,ICT and digital work,Software Design Development and Implementation Works,ሲኒየር ሲስተም ተንታኝ,P
Senior System and Datacenter Administration Officer,,,ICT and digital work,Data Center Hosting Services,ሲኒየር ሲስተም እና ዳታሴንተር አስተዳደር ኦፊሰር,P
Senior System Developer,,,ICT and digital work,Software Design Development and Implementation Works,ሲኒየር ሲስተም ገንቢ,P
Senior System Developer / Architect,,,ICT and digital work,Software Design Development and Implementation Works,ሲኒየር ሲስተም ገንቢ / አርክቴክት,P
Senior System Engineer,,,ICT and digital work,Software Design Development and Implementation Works,ሲኒየር ሲስተም መሐንዲስ,P
Senior System Support Officer,,,ICT and digital work,Computer network design deployment and implementation tasks,ከፍተኛ የስርዓት ድጋፍ ኦፊሰር,P
Senior Systems & Change Management Expert,,,ICT and digital work,Software Design Development and Implementation Works,ሲኒየር ሲስተምስ እና ለውጥ አስተዳደር ኤክስፐርት,P
Senior Talent Acquisition & Administration Officer,,,Service,Employment agencies and recruitment agencies,ከፍተኛ ተሰጥኦ ማግኛ እና አስተዳደር መኮንን,P
Senior Talent Acquisitions and On Boarding Officer,,,Service,Employment agencies and recruitment agencies,ከፍተኛ ተሰጥኦ ግዢዎች እና በቦርዲንግ ኦፊሰር ላይ,P
Senior Talent Development Officer,,,Service,Employment agencies and recruitment agencies,ከፍተኛ ተሰጥኦ ልማት ኦፊሰር,P
"Senior Talent Reward, Benefit & Performance",,,Service,Human Resource Management,ከፍተኛ ተሰጥኦ ሽልማት፣ ጥቅም እና አፈጻጸም,P
Senior Tax Accountant,,,Service,Accounting and auditing Jobs,ሲኒየር የታክስ አካውንታንት,P
Senior Technical Advisor,,,Service,Engineering Consulting Service,ከፍተኛ የቴክኒክ አማካሪ,P
Senior Technical and Operational Research Advisor,,,Service,Research and experimental development work in engineering and technology,ከፍተኛ የቴክኒክ እና ኦፕሬሽናል ምርምር አማካሪ,P
Senior Technical Expert I - Crop Protection,,,agriculture,Agriculture,ከፍተኛ የቴክኒክ ባለሙያ I - የሰብል ጥበቃ,P
"Senior Technical Officer, Mobile Money Service",,,ICT and digital work,Software Design Development and Implementation Works,"ከፍተኛ የቴክኒክ መኮንን, የሞባይል ገንዘብ አገልግሎት",P
Senior Technical Supervisor / Inspector,,,Service,Inspection,ከፍተኛ የቴክኒክ ተቆጣጣሪ / ተቆጣጣሪ,P
Senior Technology Sales Expert,,,Business,"Wholesale of Telecommunication Equipment Computer, Computer Accessories, Accessories and Equipment",ከፍተኛ የቴክኖሎጂ ሽያጭ ባለሙያ,P
Senior Telegram Bot Developer,,,ICT and digital work,Software Design Development and Implementation Works,ሲኒየር ቴሌግራም Bot ገንቢ,P
Senior telephony lead engineer (Unified|PBX),,,ICT and digital work,Installation and maintenance of telecommunication turntables,ከፍተኛ የስልክ መሪ መሐንዲስ,P
Senior tender,,,Service,Other services,ከፍተኛ ጨረታ,P
Senior Tender and Contract Administration Engineer,,,Service,Engineering Consulting Service,ሲኒየር ጨረታ እና ውል አስተዳደር መሐንዲስ,P
Senior Tender Engineer I,,,Service,Engineering Consulting Service,ከፍተኛ የጨረታ መሐንዲስ I,P
Senior Tender Specialist,,,Service,Other services,ሲኒየር ጨረታ ስፔሻሊስት,P
Senior Tendering & Estimation Engineer,,,Service,Engineering Consulting Service,ሲኒየር ጨረታ እና ግምት መሐንዲስ,P
Senior Thermal Engineer,,,Economic Infrastructure,Energy,ከፍተኛ የሙቀት መሐንዲስ,P
Senior Ticketing Agent,,,Tourism and art,Travel Agent and Related Services,ከፍተኛ የቲኬት ወኪል,P
Senior Tier Man,,,Manufacturing,Manufacturing and renewing tire products,ከፍተኛ ደረጃ ሰው,U
Senior Tire Controller,,,Manufacturing,Manufacturing and renewing tire products,ሲኒየር የጎማ ተቆጣጣሪ,U
Senior Tire man,,,Manufacturing,Manufacturing and renewing tire products,ሲኒየር የጎማ ሰው,U
Senior Trade Fair Officer,,,Business,Wholesale business in specialized stores,ከፍተኛ የንግድ ትርዒት ​​ኦፊሰር,P
Senior Trade Finance Officer,,,Service,Finance and Administration Services,ከፍተኛ የንግድ ፋይናንስ ኦፊሰር,P
Senior Trade Service Fund Management Officer,,,Service,Finance and Administration Services,ሲኒየር ንግድ አገልግሎት ፈንድ አስተዳደር ኦፊሰር,P
Senior Trade Service Officer,,,Business,Wholesale business in specialized stores,ከፍተኛ የንግድ አገልግሎት ኦፊሰር,P
Senior Trainer,,,Service,Short-term language training and education,ከፍተኛ አሰልጣኝ,P
Senior Training & Development Expert,,,Service,Short-term language training and education,ከፍተኛ የሥልጠና እና ልማት ባለሙያ,P
Senior Training & Development Officer,,,Service,Short-term language training and education,ከፍተኛ የስልጠና እና ልማት ኦፊሰር,P
Senior Training and Administrative Officer,,,Service,Short-term language training and education,ከፍተኛ የስልጠና እና የአስተዳደር መኮንን,P
Senior Transaction Manager,,,Service,Finance and Administration Services,ከፍተኛ የግብይት አስተዳዳሪ,P
Senior Transit Officer,,,"Logistics, transportation and communication",Other supportive transportation services,ከፍተኛ ትራንዚት ኦፊሰር,P
Senior Transport and Fleet Coordinator,,,"Logistics, transportation and communication",Other supportive transportation services,ሲኒየር ትራንስፖርት እና ፍሊት አስተባባሪ,P
Senior Transport Operation Controller,,,"Logistics, transportation and communication",Road freight service,ከፍተኛ የትራንስፖርት ኦፕሬሽን ተቆጣጣሪ,P
Senior Transport Operation Head,,,"Logistics, transportation and communication",Road freight service,ከፍተኛ የትራንስፖርት ኦፕሬሽን ኃላፊ,P
Senior Transport/Fleet and Logistic Assistant,,,"Logistics, transportation and communication",Other supportive transportation services,ሲኒየር ትራንስፖርት/መርከብ እና ሎጂስቲክስ ረዳት,P
Senior Travel Consultant,,,Tourism and art,Travel Agent and Related Services,ሲኒየር የጉዞ አማካሪ,P
Senior Treasury & Fund Management Officer,,,Service,Finance and Administration Services,ከፍተኛ የግምጃ ቤት እና የፈንድ አስተዳደር ኦፊሰር,P
Senior Treasury Account Management,,,Service,Finance and Administration Services,ሲኒየር የግምጃ ቤት መለያ አስተዳደር,P
Senior Treasury Accountant,,,Service,Accounting and auditing Jobs,ሲኒየር የግምጃ ቤት አካውንታንት,P
Senior Treasury Officer,,,Service,Finance and Administration Services,ከፍተኛ የግምጃ ቤት ኃላፊ,P
Senior Treatment Machine Operator,,,Manufacturing,Manufacture of pesticides and other agricultural chemicals,ሲኒየር ሕክምና ማሽን ኦፕሬተር,P
Senior Treatment Operator,,,Manufacturing,Manufacture of pesticides and other agricultural chemicals,ከፍተኛ ሕክምና ኦፕሬተር,P
Senior Underwriter Officer,,,Service,Finance and Administration Services,ዋና ጸሐፊ መኮንን,P
Senior Urban Designer,,,Economic Infrastructure,Municipality,ከፍተኛ የከተማ ዲዛይነር,P
Senior utility Mechanic,,,Economic Infrastructure,Energy,ሲኒየር መገልገያ መካኒክ,P
Senior utility Operator,,,Economic Infrastructure,Energy,ሲኒየር የፍጆታ ኦፕሬተር,P
Senior Vehicle Assembler,,,Manufacturing,"Manufacture of motor vehicle parts, trailers and semi-trailers",ሲኒየር ተሽከርካሪ ሰብሳቢ,P
Senior Vehicle Inspector,,,Service,Vehicle Technical Inspection Service,ከፍተኛ የተሽከርካሪ መርማሪ,P
Senior Vehicle Maintenance Administration Officer,,,Service,Motor vehicle repair work,ከፍተኛ የተሽከርካሪ ጥገና አስተዳደር ኦፊሰር,P
Senior Vehicle Sales Officer,,,Business,Components of motor vehicles and Accessories Wholesale (Vehicle Wholesale),ከፍተኛ የተሽከርካሪ ሽያጭ መኮንን,P
Senior Video editor and graphics designer,,,Tourism and art,Motion Picture Works,ሲኒየር ቪዲዮ አርታዒ እና ግራፊክስ ዲዛይነር,P
Senior video editor and motion graphics artist,,,Tourism and art,Motion Picture Works,ከፍተኛ የቪዲዮ አርታዒ እና የእንቅስቃሴ ግራፊክስ አርቲስት,P
Senior Warehouse and Distribution Officer,,,"Logistics, transportation and communication",Stroage and warehousing service,ከፍተኛ መጋዘን እና ስርጭት ኦፊሰር,P
Senior Wash & ESNFI Officer,,,Service,Sewage and waste disposal; Health care and similar jobs,ከፍተኛ ማጠቢያ እና የESNFI ኦፊሰር,P
Senior WASH Advisor,,,Service,Water Works Consulting Service,ከፍተኛ የንጽህና አጠባበቅ አማካሪ,P
Senior WASH and Construction Officer,,,Construction,Water Supply Prevention Service,ከፍተኛ የውሃ ማጠቢያ እና ኮንስትራክሽን ኦፊሰር,P
Senior WASH Engineering Supervisor,,,Construction,Water Supply Prevention Service,ከፍተኛ የንፅህና መጠበቂያ ኢንጂነሪንግ ተቆጣጣሪ,P
Senior WLAN/networking engineer,,,ICT and digital work,Computer network design deployment and implementation tasks,ሲኒየር WLAN / የአውታረ መረብ መሐንዲስ,P
Senior Women & Youth Empowerment Expert,,,Service,Social work services,ከፍተኛ የሴቶች እና ወጣቶች ማጎልበት ባለሙያ,P
Senior WordPress developer,,,ICT and digital work,Software Design Development and Implementation Works,ከፍተኛ የዎርድፕረስ ገንቢ,P
Senior Workforce Planning and Onboarding Officer,,,Service,Employment agencies and recruitment agencies,ከፍተኛ የሰው ኃይል እቅድ እና የቦርድ ኦፊሰር,P
Senior Youth and Social Cohesion Officer,,,Service,Social work services,ከፍተኛ የወጣቶች እና ማህበራዊ ትስስር ኦፊሰር,P
"Senior YouTube specialist, graphic designer and video editor",,,Tourism and art,Motion Picture Works,ከፍተኛ የዩቲዩብ ስፔሻሊስት፣ ግራፊክ ዲዛይነር እና ቪዲዮ አርታዒ,P
Senior(chief) Accountant,,,Service,Accounting audit and adminstrative works,ሲኒየር (ዋና) አካውንታንት,P
"Senior, Accountant Foreign Banking Officer I",,,Service,Finance and Administration Services,ሲኒየር፣ አካውንታንት የውጭ ባንክ ኦፊሰር I,P
"Senior, Alternate Channel Administrator ATM/POS",,,Service,Finance and Administration Services,ከፍተኛ፣ ተለዋጭ ቻናል አስተዳዳሪ ኤቲኤም/POS,P
"Senior, Alternate Channel Administrator Online",,,Service,Finance and Administration Services,ሲኒየር፣ ተለዋጭ የሰርጥ አስተዳዳሪ በመስመር ላይ,P
"Senior, Credit Analysis & Appraisal II",,,Service,Finance and Administration Services,ከፍተኛ፣ የብድር ትንተና እና ግምገማ II,P
"Senior, Credit Information Officer I",,,Service,Finance and Administration Services,ሲኒየር፣ የብድር መረጃ ኦፊሰር I,P
"Senior, Digital Banking Officer",,,Service,Finance and Administration Services,ሲኒየር፣ ዲጂታል ባንኪንግ ኦፊሰር,P
"Senior, Foreign Banking Officer-II (Auditor)",,,Service,Accounting audit and adminstrative works,ከፍተኛ፣ የውጭ ባንክ ኦፊሰር-II (ኦዲተር),P
"Senior, Materials Management Officer",,,Service,Logistics Supply and Support Services (outside of other business sectors),ከፍተኛ፣ የቁሳቁስ አስተዳደር ኦፊሰር,P
"Senior, Partnership Relations Management Officer II",,,Service,Business Promotion Service,ከፍተኛ፣ የአጋርነት ግንኙነት አስተዳደር ኦፊሰር II,P
"Senior, Product & Business Development Officer",,,Service,Business Promotion Service,ከፍተኛ፣ የምርት እና የንግድ ልማት ኦፊሰር,P
"Senior, Saving & Mobilization Officer",,,Service,Finance and Administration Services,ከፍተኛ፣ ቁጠባ እና ማሰባሰብ ኦፊሰር,P
Senior/Lead Web & Mobile Architect,,,ICT and digital work,Software Design Development and Implementation Works,ሲኒየር/ሊድ ድር እና የሞባይል አርክቴክት,P
Senior-IFRS Accountant,,,Service,Accounting audit and adminstrative works,ሲኒየር-IFRS አካውንታንት,P
Senior-Network Administrator,,,ICT and digital work,Computer network design deployment and implementation tasks,ሲኒየር-አውታረ መረብ አስተዳዳሪ,P
Senor Microbiologists,,,Service,Research and experimental development work in biology and chemistry,ሴኖር ማይክሮባዮሎጂስቶች,P
"Senor Researcher I, Grade IV (Macroeconomist)",,,Service,Research and Experimental Development Works on Economics and Development,ሲናር ተመራማሪ I፣ IV ክፍል (ማክሮ ኢኮኖሚስት),P
SEO frontend & backend web designer,,,ICT and digital work,Software Design Development and Implementation Works,SEO የፊት ለፊት እና የኋላ ድር ንድፍ አውጪ,P
Seo optimized food blogs and recipes articles Writer,,,Service,Advertising,የ Seo የተመቻቹ የምግብ ብሎጎች እና የምግብ አዘገጃጀት መጣጥፎች ጸሐፊ,U
Seo specialist,,,Service,Advertising,ሴኦ ስፔሻሊስት,U
SEO specialist and blog writer,,,Service,Advertising,SEO ስፔሻሊስት እና የብሎግ ጸሐፊ,U
SEO Specialist/Wordpress/ Marketing Specialist,,,Service,Advertising,SEO ስፔሻሊስት / የዎርድፕረስ / የግብይት ስፔሻሊስት,U
SEO Trainee,,,Service,Advertising,SEO ሰልጣኝ,U
SEO Writer / Graphics Designer/ Marketing manager,,,Service,Advertising,SEO ጸሐፊ / ግራፊክስ ዲዛይነር / የግብይት ሥራ አስኪያጅ,U
Server & Storage Administrator II,,,ICT and digital work,Data Center Hosting Services,አገልጋይ እና ማከማቻ አስተዳዳሪ II,P
Server / general,,,Tourism and art,"Resturant,Coffee shop",አገልጋይ / አጠቃላይ,P
Server Storage Expert,,,ICT and digital work,Data Center Hosting Services,የአገልጋይ ማከማቻ ባለሙያ,P
Service /Communication and Liaising Manager for Partner National Society (PNS),,,Service,Business Promotion Service,ለአጋር ብሄራዊ ማህበረሰብ አገልግሎት/ግንኙነት እና ግንኙነት ስራ አስኪያጅ,P
Service Center Coordinator,,,Service,Business Promotion Service,የአገልግሎት ማእከል አስተባባሪ,P
Service Channel Manager,,,Service,Business Promotion Service,የአገልግሎት ቻናል አስተዳዳሪ,P
Service Deliver Manager,,,Service,Business Promotion Service,የአገልግሎት ሰጪ አስተዳዳሪ,P
Service Person - Lighting,,,Manufacturing,Manufacturing of light bulbs and lighting fixtures,የአገልግሎት ሰው - መብራት,U
Set Game Zone Achawach,,,Tourism and art,"Mobile, Theater and; Video film production and distribution",የጨዋታ ዞን አቻዋች አዘጋጅ,I
Settlement officer,,,Service,Finance and Administration Services,የሰፈራ መኮንን,P
Settlement Team Leader,,,Service,Finance and Administration Services,የሰፈራ ቡድን መሪ,P
Sewer,,,Manufacturing,Prepared clothes (hairdressing Excluding) manufacturing,የፍሳሽ ማስወገጃ,U
Sewing Machine Mechanic,,,Service,Equipment and machine installation and maintenance service,የልብስ ስፌት ማሽን ሜካኒክ,U
Sewing Specialist,,,Manufacturing,Prepared clothes (hairdressing Excluding) manufacturing,የልብስ ስፌት ስፔሻሊስት,U
Sewing Supervisor,,,Manufacturing,Preparation of textile stripes; Spinning and weaving,የልብስ ስፌት ተቆጣጣሪ,P
Sexual and Gender-Based Violence Officer,,,Service,Social work services,በጾታ እና በፆታ ላይ የተመሰረተ ጥቃት መኮንን,P
Sexual and Reproductive Health and Rights Officers,,,Health,Health,የወሲብ እና የስነ ተዋልዶ ጤና እና የመብት ኃላፊዎች,P
SharePoint Developer,,,ICT and digital work,Software Design Development and Implementation Works,SharePoint ገንቢ,P
Shariah Advisory Committee (SAC) Secretary,,,Service,Other services,የሸሪዓ አማካሪ ኮሚቴ (SAC) ጸሐፊ,P
Shariah Compliance Officer,,,Service,Other services,የሸሪዓ ተገዢነት ኦፊሰር,P
Sheet Metal Technician,,,Manufacturing,"Manufacture of metal products, tanks, reservoirs used for structure",የሉህ ብረት ቴክኒሻን,P
Shelter and non food item Officer,,,Service,Social work services,የመጠለያ እና የምግብ እቃ ያልሆነ መኮንን,U
Shelter Engineer,,,Construction,Building Construction Contractor,የመጠለያ መሐንዲስ,U
Shelter NFI Wash Clerk,,,Service,Social work services,የመጠለያ NFI ማጠቢያ ሰራተኛ,U
Shelter NFIs Coordinator,,,Service,Social work services,የመጠለያ NFIs አስተባባሪ,U
Shelter Officer,,,Service,Social work services,የመጠለያ መኮንን,U
Shemane,,,Service,Other services,ሸማኔ,U
Shift Mechanical Artisan,,,Manufacturing,Manufacture of General Mechanical Engineering Products for Metal Painting works,Shift ሜካኒካል የእጅ ባለሙያ,P
Shift Quality Assurance / Control Technician,,,Manufacturing,Manufacture of General Mechanical Engineering Products for Metal Painting works,Shift ጥራት ማረጋገጫ / ቁጥጥር ቴክኒሽያን,P
Shift Quality Inspector,,,Manufacturing,Manufacture of General Mechanical Engineering Products for Metal Painting works,የ Shift ጥራት መርማሪ,P
Shift Quality Supervisor,,,Manufacturing,Manufacture of General Mechanical Engineering Products for Metal Painting works,የ Shift ጥራት ተቆጣጣሪ,P
Shift Technologist,,,Manufacturing,Manufacture of General Mechanical Engineering Products for Metal Painting works,ፈረቃ የቴክኖሎጂ ባለሙያ,U
Shoe and Garment Marketer,,,Business,Textile Clothing Shoes & Leather Products Retail,ጫማ እና አልባሳት ገበያተኛ,P
Shoe Technologist,,,Manufacturing,Shoe manufacturing,የጫማ ቴክኖሎጂ ባለሙያ,U
Shop Welder,,,Manufacturing,"Manufacture of metal products, tanks, reservoirs used for structure",ብየዳ,U
Shopify and Wordpress developer,,,ICT and digital work,Software Design Development and Implementation Works,Shopify እና Wordpress ገንቢ,P
Shopify expert(International),,,ICT and digital work,Software Design Development and Implementation Works,የ Shopify ባለሙያ (አለምአቀፍ),U
Shopify Store Designer,,,ICT and digital work,Software Design Development and Implementation Works,Shopify መደብር ዲዛይነር,U
Short Animated Video creator,,,Tourism and art,Motion Picture Works,አጭር አኒሜሽን ቪዲዮ ፈጣሪ,P
Short comedy play writter,,,Tourism and art,Motion Picture Works,አጭር የአስቂኝ ጨዋታ ደራሲ,P
Short video production and script writing,,,Tourism and art,Motion Picture Works,አጭር የቪዲዮ ፕሮዳክሽን እና ስክሪፕት አጻጻፍ,P
Automotive Trainers,,,Service,"Other not-mentioned educational services (private tutoring, etc.)",አውቶሞቲቭ አሰልጣኞች,P
Data Controller,,,ICT and digital work,Database organization and data processing,የውሂብ መቆጣጠሪያ,P
Senior Database Administrator,,,ICT and digital work,Database organization and data processing,ከፍተኛ የውሂብ ጎታ አስተዳዳሪ,P
